@relation agua-cat4-sem_CAT-weka.filters.unsupervised.instance.Resample-S1-Z65.0-no-replacement

@attribute TRANS numeric
@attribute TEMP numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute COND numeric
@attribute Cl numeric
@attribute FeTotal numeric
@attribute Ca numeric
@attribute Mg numeric
@attribute Na numeric
@attribute K numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute ORP numeric

@data
3.5,29.5,6.84,7.34,6.89,44.1,2.94,0.09,4.16,2.33,2,1.1,14.02,44.25,5.68,1.67,1,3.81,11.3,168.5
0.8,29.6,3.9,7.26,6.28,53.8,2.16,1.15,4.48,1.65,2.1,1.8,39.28,49.43,8.76,42.03,8.8,6.43,27.45,156.1
1.5,30,5.42,7.05,5.66,50.6,3.41,0.41,3.2,2.43,4.6,2.3,38.44,5.66,0.59,20.87,7.4,9.28,8.23,211.64
2.5,29.9,2.34,6.99,4.62,44.2,2.06,2.74,3.2,3.69,2.1,1.2,240.4,10.78,0.24,40.75,12.4,6.49,11.87,110
1,30.2,6.35,6.95,5.32,43.2,1.56,1.03,4.64,1.85,2.6,2.4,21.79,56.78,8.55,43.15,7,15.71,19.38,248.8
0.5,28.8,6.98,7.63,6.99,50.4,2.74,1.41,4.96,3.11,2.4,1.7,26.23,68.93,4.05,52.75,32.4,5,51.3,157.2
1.8,30.2,4.55,7.48,7.76,65.3,3.69,0.41,4.64,2.24,2.7,1.7,55.77,33.84,12.54,25.07,3.8,8.77,5,79.2
2.8,29.4,0.61,6.53,9.68,80.3,2.47,8.02,3.68,0.97,2.4,1.6,245.27,26.4,40,58.47,7.2,6.6,5.41,175.7
3,29.8,5.6,7.39,4.64,58.7,3.41,0.69,4.32,1.7,1.3,1.2,1.92,10.78,2.29,9.1,1.6,5.24,1.69,147.4
2.2,28.5,2.07,6.5,6.16,42.7,2.49,1.97,2.88,2.14,2.4,2.2,47.31,2.05,3.7,50.7,4.44,8.09,7.91,223.1
1.2,29.5,6.91,7.07,4.39,46.6,2.37,0.86,4.32,2.53,1.2,0.4,14.02,36.05,1.63,28.44,12,14.28,16.5,160.2
3.2,30.8,5.04,6.86,3,41.9,3.15,0.35,4.16,1.56,3.5,1.6,18.46,5.36,0.18,12.46,1.8,9.04,0.78,227.98
1.2,27.4,0.34,6.67,10.02,42.4,2.77,3.75,2.4,2.24,0.7,1.3,110.56,1.81,14.09,110.01,18.4,5.09,39.07,191.4
1.1,29.4,6.46,7.93,5.8,60.1,1.6,1.2,4,1.56,2.4,1.9,6.31,46.36,7.04,26.36,5,13.09,18.02,139.9
2.6,30,5.28,7.42,6.89,40.9,2.94,0.23,3.95,2.59,2.1,1.1,24.58,3.43,9.73,15.95,1.4,4.76,2.41,179.63
3,30.3,5.86,7.43,2.19,38.9,2.56,0.14,3.52,1.75,2.3,1.1,12.91,6.89,0.93,8.75,1.2,9.04,10.85,202.45
3.5,29.9,4.93,7.35,4.39,40.2,3.03,0.06,4.32,2.04,2,1,20.68,48.59,3.72,9.43,3.6,3.09,1.24,191.13
2.2,29,5.75,6.93,4.81,56.7,3.11,0.12,3.68,1.55,2.4,1.7,10.7,66.61,1.63,7.4,3.2,10.23,2.73,123.8
2.5,30.1,2.07,7.02,4.32,53.8,2.45,1.06,4.48,2.14,2.7,1.6,139.29,20.85,3.61,13.42,3.4,6.49,3.41,139.3
1,29.3,6.01,6.93,5.88,41,2.39,0.82,4.8,1.07,2.1,1.5,14.02,36.51,10.63,35.95,6.2,8.33,12.79,165.9
1.8,29.8,5.33,7.13,6.4,59.6,2.72,1.78,4,0.97,1.5,1.4,37.33,2.36,1.28,19.88,3.4,8.57,2.57,125.5
3.5,29.6,5.99,7.31,6.89,43.9,2.94,0.21,4.32,2.43,1.9,1.1,11.81,56.72,1.63,8.87,4,4.41,18.86,170.6
2.3,29,0.62,6.63,12.08,69.1,2.56,4.41,3.04,3.01,4.3,3.5,147.18,3.51,28.29,92.18,1.8,7.32,14.26,168
0.8,29.3,6.72,7.53,8.65,55.7,2.56,2.17,4,1.46,2.2,1.5,45.89,32.99,27.44,72.04,15.6,8.14,32.2,116.4
1.9,30,6.14,7.47,7.48,57.5,2.13,0.05,4.48,1.16,1.3,0.6,30.67,33.18,1.97,15.84,3.4,4.58,12.14,163.6
3.1,30.4,4.63,6.9,7.27,50.3,2.79,0.46,4,1.16,1.9,1.4,59.84,18.53,18.18,21.24,0.8,2.62,1.57,115.2
0.7,29.4,5.63,7.21,6.99,55.3,2.74,2.09,3.52,2.23,1.7,1.2,25.55,50.56,22.29,37.45,14,4.52,42.5,130.76
1.4,29.6,7.03,7.23,6.4,45.7,2.27,0.94,3.36,1.85,2.9,1.6,36.22,19.83,5.44,44.53,4.6,4.81,6.39,294.5
1.9,30,5.56,7.33,4.39,45.1,2.37,0.4,4.32,2.04,3.1,1,11.74,17.45,15.53,18.75,1.6,5.24,3.42,238.9
4,29.7,7.11,7.02,4.39,50.5,3.03,0.27,4.32,2.33,4.3,1.9,4.04,30.57,1.28,9.21,1.4,4.63,9.5,191.13
1,29.8,6.04,6.94,5.16,43.3,1.49,1.1,4.48,1.94,2.2,2,17.35,64.1,10.28,41.78,6.6,13.09,20.8,164.7
3,29.7,5.87,6.98,6.77,40.1,2.31,0.39,3.68,3.4,1.4,0.6,24.01,33.29,6.82,14.01,1.2,8.09,1.81,118.6
1.7,30.6,5.44,6.65,8.98,39.7,2.16,0.91,3.84,1.75,2.6,1.3,66.01,11.58,13.92,20.93,4.2,5.71,5.25,245.84
0.8,29.1,6.22,7.53,8.72,55.8,2.13,1.87,4,1.46,2,1.9,11.8,49.48,11.51,42.97,11,5.95,43.6,153.9
3.2,29.1,0.69,6.54,10.37,48.4,2.98,2.73,3.2,1.94,2.3,1.9,202.67,15.25,36.1,74.88,12.6,4.48,56.6,294.8
1.8,30,3.09,6.73,9.76,35.8,4,1.24,4.24,1.07,2.1,1.5,17.31,6.02,12.95,35.89,6.4,11.12,6,117.2
1.1,29.6,7.08,7.64,6.4,59.4,3.27,0.75,4,1.94,6.3,2.2,76.79,8.46,8.12,20.31,4.6,1.9,3.24,243.1
1.5,31.2,5.53,7.33,3.04,47,2.56,0.49,4.41,2.4,2.2,1.3,51.2,8.94,4.58,11.58,3.6,6.19,4.69,151.58
2.6,30.2,6.2,7.36,7.48,54.6,2.13,0.51,4,1.75,4.8,1.8,86.76,27.6,10.05,15.01,0.4,2.62,1.71,83.6
0.67,28.2,5.99,6.99,8.4,49.8,2.27,1.65,3.52,1.75,2.9,1.7,18.05,25.52,14.79,54.81,10,4.45,17.32,159.9
3,30.8,4.39,6.78,6.4,44.6,2.3,0.3,3.84,2.04,3.1,1.4,48.24,14.33,10.37,13.14,1,4.52,1.33,106.5
0.9,29.5,2.26,7.45,8.57,60.8,2.04,1.96,4.16,1.26,2.6,2,45.89,55.36,26.79,35.27,5.6,8.5,14.3,174.6
3.5,30.6,5.37,6.8,6.24,37.8,2.55,0.33,4,1.65,2.1,1.1,5.82,6.95,2.65,16.57,2.6,4.76,1.84,187.28
2.4,30.2,3.09,6.68,8.16,40.1,2.63,0.84,3.84,1.36,3,1.6,151.85,12.81,9.09,15.95,1.2,3.33,3.59,83.4
0.8,30.2,5.45,7.31,10.24,53,3.09,0.61,4.2,1.51,4.8,1.9,72.23,2.32,2,28.41,10.57,12.79,19.8,90.8
0.5,28.1,5.63,7.57,10.8,63.5,2.39,3.08,4,1.46,3,2.3,15.1,59.67,19.41,53.6,18.8,5.47,37,173.8
1.3,29.8,6.1,7.07,6,45.7,2.06,0.8,4,1.94,2.4,1.5,48.42,40.29,4.05,23.27,5.4,5.09,9.89,306
1.7,30.4,5.57,7.03,3.67,41.6,2.63,0.62,3.52,2.72,2.9,1.7,7.37,34.81,2.32,64.75,4.6,14.99,4.35,176.3
3.1,29.4,0.77,6.6,10.75,86.3,3.08,1.12,3.52,1.55,2.2,1.6,372.87,8.69,7.8,105.7,3.6,4.12,6.18,100.1
1,29,5.56,6.96,7.8,42.3,1.56,0.9,5.12,1.07,1.5,1.3,8.47,31.24,6.82,23.96,8.4,8.56,11.34,204.29
0.8,28.9,6.22,7.47,10.24,57.1,2.04,2.05,4.16,1.26,2.2,2.1,15.1,37.76,12.2,45.63,8.8,18.56,21.1,152.6
1.2,28.6,6.15,6.81,3.88,41,1.56,0.96,3.68,2.33,0.8,0.6,17.35,63.06,6.47,40.07,6,5.95,12.39,245.84
0.8,30.6,7.4,7.79,14.64,53.6,3.41,0.59,4.8,1.94,4.7,1.7,189.71,9.81,2.33,32.46,14.75,12.79,27.5,164.4
3.1,30.5,5.2,6.59,6.02,48.5,2.7,0.29,3.36,2.82,3.9,2.4,9.6,12.83,14.85,13.67,1.2,4.48,4.05,176.5
3.99,29.7,5.28,7.03,6.89,44.7,2.94,0.78,4.12,1.71,2.34,1.29,26.54,51.63,4.84,14.07,1.03,3.19,3.24,183.76
2.8,30.8,4.68,6.89,6.08,44.2,2.55,0.79,3.68,1.46,2.7,1.5,63.05,22.67,17.14,19.37,1,6.66,2.2,118.2
0.9,30.8,3.17,6.94,10.72,65.9,3.46,0.48,4.03,2.35,6.4,1.8,130.14,43.4,21,35.27,8.67,20.83,8.27,76.9
2.6,29.4,8.57,7.5,2.42,40.6,1.99,0.27,4.16,2.24,2.4,1.3,24.01,0.48,0.24,13.67,2.6,3.57,6.64,156.2
1.5,29.3,3.36,6.55,0.97,37.9,2.56,0.52,3.2,2.72,1.9,1.8,132.76,2.31,0.93,32.18,5,4.28,7.88,189.1
1,28.6,5.31,7.11,8.48,37.6,1.42,0.58,4.32,1.75,1.4,1.1,8.48,36.85,8.94,15.84,7.6,3.33,51.1,181
2,29.9,1.19,6.63,3.91,37.8,2.39,1.9,4,0.97,3.8,3.1,75.06,62.59,46.89,23.6,7,5.09,4.36,169.8
3.1,29,0.46,6.81,8.4,66.7,2.91,3.01,3.52,2.62,4.3,2.3,182.69,3.52,18.6,27.38,2,10.38,2.84,194.1
2.2,28.8,0.75,6.51,8.24,47.5,2.13,1.89,3.2,1.85,2.7,2.2,62.85,5.57,18.6,43.5,4,7.32,7.96,231
2.5,30,3.63,7.04,5.6,43.9,2.27,2.78,3.68,2.33,1.3,1.1,69.51,13.33,1.28,71.27,13.4,11.12,18.45,195.2
2,30,6.08,7.1,7.87,46.8,2.79,0.3,3.04,0.97,1.3,1.1,9.61,9.42,10.13,18.08,2.8,8.09,3.15,184.4
2.2,30.4,6.24,7.3,5.09,48.3,2.53,0.27,4.32,2.42,1.7,1.2,14.01,1.27,5.67,8.1,1.4,0.48,2.52,186.6
2.2,30.6,7.04,7.5,8.65,51.5,2.53,0.18,5.6,2.62,3,1.7,18.46,25.84,1.63,18.81,3.2,12.85,18.98,198.3
1.8,30.6,5.27,7.26,7.52,55.3,2.94,0.9,3.2,1.46,3.8,1.7,63.83,17.7,11.98,14.08,3.4,11.22,6.66,118.9
3,29.9,6.17,6.62,5.92,55.9,2.9,0.94,4,1.65,1.8,1.6,0,1.31,4.98,3.19,1.6,6.19,2.53,114.4
2.6,30,6.74,7.37,3.6,55.5,2.45,0.58,3.7,0.97,2.5,1.3,29.94,13.83,8.12,15.01,1,4.05,2.81,202.45
2.3,30.83,5.2,7.3,12.77,58.1,2.9,0.32,3.2,1.75,1.8,3.1,1.92,2.38,7.04,24.09,1.8,4.52,2.69,204.43
0.4,28.8,5.81,6.98,4.04,50.8,2.53,1.03,3.84,1.26,1.8,1.6,61.84,39.49,25.76,83.73,8.8,5.24,22.6,89.9
1.6,28.9,5.94,6.96,8.81,57.5,3.41,1.16,3.04,0.97,4.6,2.6,38.04,14.3,6.5,45.84,3.4,9.28,4.49,124.7
2.5,29,5.6,6.55,5.8,43,1.7,0.37,4,1.46,1.7,1.3,6.25,68.98,0.45,12.7,1,7.73,4.36,182.21
2.7,30,6.18,7.08,4.48,46.2,2.45,0.89,3.2,1.17,2.8,1.6,40.91,9.17,7.15,9.71,1.4,3.81,2.31,148
3.99,29.7,5.28,7.03,6.89,44.7,2.94,0.78,4.12,1.71,2.34,1.29,26.54,51.63,4.84,14.07,1.03,3.19,3.24,183.76
3,30.9,4.81,6.67,5.94,52.2,2.56,0.28,3.52,2.43,2.3,1.4,37.33,3.25,5.22,34.24,2.2,5.91,1.83,214.17
3.8,30.4,5.24,7.22,6.77,35.8,2.31,0.09,4,1.46,1.9,1.2,15.13,24.27,0.93,6.05,2,4.28,10.9,193.35
2,30.4,7.69,7.82,3.6,47.7,3.41,0.24,4.96,3.5,1.3,0.8,30.67,15.76,0.93,23.96,3.8,3.74,5.82,243.1
2.7,29.7,6.84,6.9,3.6,53,2.13,0.88,3.68,1.75,2,1.8,12.91,15.92,3.7,19.16,2.67,8.57,2.63,227.98
1.5,29.7,5.27,7.01,7.2,48.9,2.34,1.46,4,1.85,2.5,1.5,69.51,26.42,0.59,44.53,7.8,8.5,30.9,268.1
3.2,27.3,1.64,6.34,12.93,51.7,2.94,8.33,3.2,0.97,3,2,162.52,3.98,48.04,73.29,27.6,4.48,11.83,117.8
1,30.9,5.2,6.95,6.24,36.1,3.83,0.73,4.03,1.29,2.5,1.6,55.15,54.88,26.15,28.1,6.5,14.52,7.51,106.4
3,30.7,4.54,6.64,6.02,51.4,2.63,0.27,3.68,2.24,2.2,1.3,32.89,3.55,0.24,21.21,2.4,5.91,1.81,191.2
2,29.1,0.52,6.65,11.47,64.6,4.26,2.75,3.68,1.65,3.2,1.5,193.49,9.55,23.87,43.67,8.4,5.68,9.99,115.6
1.5,29.2,1.96,6.93,5.8,54.7,1.6,0.92,4.16,1.36,1.1,1.1,62.59,65,14.43,29.96,5,6.74,7.03,118.4
3,29,0.63,6.88,12.8,69.2,3.98,2.19,3.2,1.94,4,1.5,180.47,2.79,2.67,25.33,6.6,10.38,8.06,268.9
2.5,29.1,5.66,7.38,6.89,82.5,2.94,0.27,4.16,1.9,2.1,1.2,11.81,150.67,0.53,8.35,1.8,4.28,6.49,278.6
3,29.7,1.27,6.72,7.84,46.8,2.06,0.59,3.52,3.5,2.5,1,110.57,32.22,0.59,31.15,9,7.08,9.63,169.8
1.6,29.4,5.61,7.22,10.4,43.1,3.59,1.52,3.2,1.94,3.5,2.5,157.54,9.42,7.8,23.11,2.2,5.95,3.65,209.74
3.6,30.2,6.13,7.41,7.48,46.8,2.13,0.15,4.8,2.14,1.1,0.6,9.59,51.99,0.24,27.38,1.5,4.58,2.23,192.8
2.6,30.7,5.97,7.7,10.27,53.6,3.41,0.53,3.2,2.14,1.8,2.3,3.02,0.73,0.52,22.04,1.6,5.24,1.99,214.17
2.2,27.9,0.37,6.49,9.94,74,3.24,3.38,4.16,1.36,2.9,1.4,149.85,12.87,40.48,98.53,17,7.32,10.09,129
1.6,28.9,5.77,6.79,8.4,57.5,3.69,1.66,3.04,0.97,4.2,2.6,62.59,10.64,8.01,41.15,3.4,8.57,4.28,207.8
1.8,30.1,5.79,7.4,7.84,55.1,3.02,0.48,2.4,2.04,3.4,1.6,56.86,7.56,11.02,13.76,2,6.07,4.15,120.3
1.6,30.1,7.34,7.63,6.61,54,2.53,0.73,4,1.94,4.4,1.8,74.8,6.79,8.12,23.74,1,1.19,3.48,152.12
2.6,29.9,3.98,7.13,6.89,40.4,2.94,0.61,4.1,2.08,2.1,1.1,34.43,8.53,10.05,14.08,3.2,4.41,5.12,71.4
0.9,30.1,6.82,7.26,7.75,53.8,1.87,1.74,3.84,1.56,2.3,1.7,14.99,30.19,24.54,28.41,4.8,5,16.1,257.58
3.3,27.9,0.58,6.43,6.77,63.6,2.31,1.91,2.4,1.94,2.9,2,245.27,7.49,55.45,79.52,2.2,4.69,3.25,109.1
1.8,29.5,5.69,6.95,3.76,52.2,2.13,0.77,4,1.21,1.8,1.1,222.59,7.58,7.48,27.17,6.4,5.47,2.54,243.1
2.5,30.3,4.16,7.15,4.8,52.7,2.45,0.43,4.48,1.94,2.8,1.6,67.86,13.54,2.92,9.1,2.6,2.86,1.45,188.19
2.2,28.2,0.76,6.55,8.16,67.1,3.07,5.16,3.52,1.75,2.7,1.6,84.4,73.57,32.93,66.77,6.75,5.06,6.62,130.2
2.5,31.5,7.75,7.6,7.68,52.3,2.44,0.26,3.84,2.14,2.6,1.2,50.27,35.02,0.18,4.11,2.2,11.51,2.22,111.3
1.5,31.1,5.78,7.15,5.76,67.1,2.77,0.59,3.36,2.14,4,1.9,21.79,22.51,0.59,30.13,4,19.99,7.84,200.85
3.1,31.3,6.85,7.65,4.96,52.7,1.85,0.14,4.8,3.2,2.7,1.5,18.46,3.32,1.63,11.27,1.4,5.63,4.81,192.3
1.6,31,7.25,7.93,3.84,57.7,1.53,0.12,4.16,1.65,1.3,0.7,12.91,2.33,1.63,31.02,8.8,3.57,15.55,243.1
2.6,30,6.4,7.6,11.81,48.2,5.1,0.2,3.68,2.61,1.7,1.1,34.89,0,6.01,7.1,5.13,3.74,3,243.1
2,29.6,0.5,6.73,6.24,54.6,2.2,0.7,3.2,0.97,2,1.4,140.53,2.74,3.02,10.1,10.67,6.45,52,108.2
1.5,30.5,6.92,7.49,6.61,52.4,2.53,0.47,4.16,2.43,1.7,1,2.93,6.79,9.59,67.84,8.4,3.09,14,152.12
1.9,30.9,7.45,7.89,2.98,61.8,2.38,0.15,4,2.33,2,0.8,8.48,21.14,1.97,15.84,2.2,3.09,13.67,243.1
3.2,30.4,4.11,6.77,6.77,47.1,2.31,0.72,4.16,2.24,3.5,2.4,8.48,68.01,2.32,11.27,1,4.69,3,187.9
3.2,30.5,5.46,6.98,3.58,42.1,3.15,0.26,4.13,1.48,3.3,1.5,21.79,1.52,0.53,9.09,1,9.52,0.73,198.9
3.5,29.7,4.18,7.27,4.39,40.3,3.03,0.08,4.16,1.94,2,1,21.79,75.68,1.97,11.11,3.2,3.09,1.28,151.3
2.5,30.3,2.78,6.8,9.86,54.7,3.28,0.92,3.36,1.36,3.3,1.7,60.09,2.86,21,37.45,1.6,4.52,2.29,112.1
3,29.7,2.69,6.9,6.4,48.8,1.92,1.32,4,2.43,2.6,1.9,26.23,5.19,1.97,21.21,2.6,4.12,6.72,160.1
1.4,30,7.14,7.71,3.76,52.3,2.98,0.29,4.96,3.3,1.6,0.9,30.44,17.47,1.63,23.27,6.6,3.74,10.45,243.1
3.5,29.5,6.5,7.31,6.89,44.1,2.94,0.1,4.32,2.72,2,1.2,8.48,45.92,0.24,4.07,2.4,4.05,11.08,168.4
2.5,30.3,5.59,7.02,2.45,47.8,1.7,8.83,4,3.11,3.2,1.4,9.59,0.14,0.24,15.04,2,11.66,3.23,177.2
5,28.6,6.61,7.43,5.01,46.6,2.13,1.31,3.52,3.21,3.3,2,36.22,65.56,7.51,41.1,25,6.55,48.6,161.2
1,29,5.76,7.58,5.88,57.1,2.39,3.03,4,1.26,2.2,2.1,11.8,40.64,16.32,74.2,8.4,6.8,25.6,159
1.2,29.5,5.91,7.29,5.88,50.7,2.88,1.31,3.68,1.46,1.8,1.3,20.62,37.27,33.56,43.37,5.4,5.24,13.17,169.5
0.8,29.1,6.97,7.26,5.98,56.3,2.45,1.57,3.52,2.62,3.3,1.6,9.01,15.97,34.2,42.75,21,8.57,11.65,220.1
2,28.6,3.66,7.56,6.89,63.6,2.94,0.35,3.68,1.65,1.1,1,6.31,75.74,0.52,4.44,2.8,3.2,2.58,143.2
1.6,30.6,3.98,6.95,7.44,40.7,3.46,0.62,3.88,1.02,2.6,1.3,41.34,0.15,15.85,36.51,7.6,11.22,6.32,89.6
3,28,0.33,6.91,11.12,65.8,5.11,1.08,3.2,1.46,1.7,1.6,185.43,16.87,51.34,75.86,4.2,4.48,6.87,151.8
3.9,30.2,6.05,6.8,6.89,40.8,2.94,0.51,4.16,1.65,2.3,1.2,70.94,21.58,4.26,11.27,0.4,3.57,0.95,183.76
3,29.5,1.02,7.17,6.24,65.6,4.43,0.69,4.64,1.41,1.5,1.4,50.27,5.34,2.29,19.41,5.2,5.38,4.17,176.7
2.5,28.6,5.59,7.33,5.8,39.2,1.6,1.56,4.32,2.04,1.8,1.3,16.24,81.7,9.63,53.29,27.2,6.74,8.07,233.1
1.5,31.3,0.83,6.86,5.12,63.8,2.7,1.23,3.2,1.56,4,1.8,152.73,14.15,0.24,41.44,4.2,12.14,6.94,178.7
4,29.5,5.98,7.19,4.39,50.3,3.03,0.27,4.48,2.14,4.1,1.8,4.04,29.17,0.59,8.87,0.4,4.63,10.69,237.8
2,29.6,3.88,7.04,4.16,93.1,4.69,0.95,3.2,1.94,4.3,1.8,106.13,34.97,1.25,25.85,8.4,10.38,10.08,291.4
1.8,30.7,5.69,7.28,4.81,43.9,3.11,0.28,4.48,1.56,3,1.4,62,78.28,2,11.27,2.8,5.95,5.99,162.17
1.3,31.3,4.22,6.99,4.03,88.4,2.9,1.09,4,1.77,2.4,1.4,35.11,82.54,1.25,32.13,10.4,39.33,16.08,293.7
2.1,30.5,5.7,7.14,7.36,44.4,2.49,0.71,4.16,1.46,3.5,1.1,25.55,4.28,13.92,26.54,1.6,7.1,4.26,220.1
1.5,29.1,7.85,7.14,4.28,56.7,1.7,0.3,4.96,2.82,4,1.9,24.01,6.03,10.04,20.53,2.67,4.63,25.7,282.4
3.9,29.8,6.61,7.37,6.89,54.9,2.94,0.37,4,0.97,2.7,1.4,12.99,12.94,10.7,11.27,1.2,4.28,1.76,179.63
3.6,30.2,6.04,7.3,7.48,46.8,2.13,0.12,5.28,2.24,1.3,0.8,17.35,52.81,0.59,22.93,1.25,4.58,2.35,198.3
2.2,29.9,5.69,6.82,6.89,32.1,4.33,0.41,3.52,1.26,3.75,1.3,14.02,48.71,4.41,10.1,2,2.14,7.26,231.62
1.3,28.5,5.31,7,9.28,37.3,1.7,0.96,3.84,1.94,1.9,1.3,10.7,36.7,12.42,33.38,5,3.33,61.4,165.6
2.2,29.9,6.66,7,6.89,42.3,4.33,0.62,4,2.43,2.1,1.4,31.78,44.16,1.28,20.18,1.6,2.69,4.82,231.62
2,30.2,2.04,7.23,8.16,42.2,2.63,0.89,3.68,2.53,2.6,1.7,242.62,20.24,3.01,42.81,2,4.26,2.25,159.9
1.7,28.9,6.69,7.54,4.39,39,2.37,0.32,4.4,2.04,1.7,0.8,25.12,1.69,1.97,14.15,5.6,7.38,1.75,170.29
1.8,29.1,4.64,6.93,6.89,55.8,2.94,0.33,3.36,1.75,2.2,1.6,35.92,26.83,20.36,23.43,2,3.2,5.1,102.1
3.4,30,4.6,7.23,7.48,50.1,2.13,0.32,5.92,1.85,2.1,1.1,66.18,39.96,19.98,12.3,1.6,4.58,14.31,161.6
2.8,29.6,4.21,7.32,4.8,56.8,3.07,0.97,4.48,1.31,2.73,1.3,57.76,6.26,6.58,19.96,1.8,5.47,2.33,161.3
2.2,31,4.72,6.77,9.15,39.7,2.42,1.13,3.68,1.8,3,1.4,27.52,33.02,15.53,21.87,3,5.24,4.89,166.8
3,29.8,5.12,6.9,6.72,50.8,4.16,0.28,4.16,2.42,1,0.6,20.6,24.72,7.73,9.76,2,6.64,2.8,171.9
0.8,28.5,5.64,6.9,4.04,50.4,2.86,1.57,3.52,1.56,2.4,1.9,58.46,19.85,26.51,43.67,4,1.19,12.73,96.9
1.3,29.1,5.99,7.04,8,37.5,1.7,0.94,3.84,2.14,2,1.4,8.48,4.63,12.42,36.08,5.8,10.47,42.9,164.3
3.2,28.4,0.4,6.75,14.24,72.2,3.69,4.32,2.88,2.53,4.6,1.5,263.7,2.41,19.98,67.15,5.4,6.75,18.78,250.5
2,30,4.4,6.64,7.51,53.5,3.83,0.63,3.68,1.17,3.1,1.3,10.77,28.8,11.03,22.74,0.8,4.28,2.31,114.3
0.4,28.5,5.62,6.91,2.91,51,2.53,1.49,4,1.07,1.5,1.6,61.84,39.57,25,72.55,9.2,2.14,23,245.84
0.5,29,6.94,7.61,6.99,50.2,2.74,1,5.12,3.3,2.4,1.7,43.99,32,5.09,52.07,30.2,5.71,50.6,158.1
2.6,30.4,6.9,7.57,3.44,57.1,2.61,0.75,3.8,0.97,2.5,1.6,24.96,13.83,8.12,14.08,0.8,3.09,3.78,111.4
1.8,29.3,5.76,6.92,6.89,54.9,2.94,0.43,3.68,1.46,2.1,1.5,51.87,14.92,15.85,24.67,1.4,3.81,5.43,182.31
3,29.7,4.93,7.17,8.16,45.7,2.63,0.92,3.2,1.46,6.6,2.4,59.85,43.46,11.34,12.52,1.2,1.67,2.5,108.3
2.5,30.1,6.08,7.08,3.24,36,1.78,0.23,5.76,3.5,2.4,1.2,12.91,10.78,6.45,9.56,2.4,6.66,2.19,188.19
3.5,29,1.89,6.6,3.07,40.9,1.25,0.55,3.52,2.72,1.9,1.7,11.81,48.89,1.97,13.33,1.8,2.38,4.31,168.7
3,31.2,6,7.48,2.74,38.9,1.87,0.18,3.2,2.43,2.3,1.1,17.35,30.98,0.93,8.08,1.8,6.19,11.18,118.1
1.6,29.7,3.92,6.96,6.22,49.4,2.98,1.51,3.36,1.84,2.3,1.4,24.56,45.77,23.58,28.1,3.6,8.33,8.29,204.58
3.4,29.5,0.82,6.39,4.58,46.5,1.92,2.96,3.84,2.23,3.2,1.4,92.81,13.27,9.94,49.67,4.4,6.6,8.9,152.9
1.9,30.8,4.1,7.36,4.39,44.2,2.37,0.4,4.16,1.75,3.1,1,35.42,17.45,11.34,18.44,3.4,7.66,3.96,182.3
0.4,28.2,5.54,6.93,2.59,51.7,2.12,1.88,4.16,1.07,1.5,1.6,61.84,28.85,26.13,53.06,9.8,2.86,23.6,85.9
2.6,29.6,6.32,6.7,6.02,44.7,1.99,0.31,3.84,2.33,4,2.1,7.37,11.39,0.93,7.16,0.8,4.64,9.58,204.5
0.4,26.3,4.51,6.5,13.49,54.7,4.77,0.84,2.24,1.17,3.1,5.9,98.04,37.96,32.93,84.46,17.33,4.36,46.9,103.5
3.1,30,4.01,6.89,7.68,49.4,2.69,0.48,3.84,1.26,1.9,1.3,59.84,20.33,17.46,20.62,1.2,3.33,1.63,180.81
1.8,29.3,5.44,6.81,6.89,55,2.94,0.38,3.52,1.65,2.1,1.5,67.82,13.57,16.81,24.05,1.2,4.28,5.22,108.7
3,28.9,5.11,7.06,5.6,45,2.2,0.32,4,2.04,2.3,0.8,46.23,46.11,7.13,15.38,2.6,6.6,3.58,202.8
0.8,28.9,5.91,7.02,5.88,43,2.39,1.07,3.36,2.43,2.2,1.7,22.9,32.15,11.67,26.01,7.6,6.8,23,204.66
2,30.4,4.8,6.97,6.61,50.2,2.53,0.54,4.16,1.26,1.6,1.1,24.56,7.89,10.05,21.87,6.6,3.91,3.39,105.3
2.8,30,4.8,7.19,5.76,55.8,3.41,0.97,4.8,1.31,2.73,1.3,57.76,1.69,6.58,19.96,2,6.19,2.07,16.29
1.5,31.2,5.77,7.25,3.28,48,2.61,0.37,4.26,2.72,2.6,1.5,44.3,3.11,7.15,20.93,2.8,6.9,3.41,69
1.8,30.8,6.48,7.86,2.98,60.6,1.7,0.11,2.48,1.26,1.7,0.8,11.81,16.4,1.28,16.51,6.8,3.33,11.42,243.1
2.6,30.5,7.11,7.64,6.43,53.1,3.01,0.39,4.96,2.62,1.6,1.2,0.71,8.84,0.24,29.78,5.4,5,4.64,175.2
2,30.7,6.84,6.79,4.7,41.9,2.62,0.16,3.2,3.4,3.1,1.7,89.48,18.93,7.91,11.96,5.2,19.75,2.62,163.8
1.6,29.7,5,7.22,9.36,42.6,3.1,1.65,3.2,1.85,3.4,2.6,100.72,101.19,9.73,28.41,3.8,11.12,4.89,88.3
