2;58,5008114771544;
12;93,65426464089681;
7;91,08467946203919;
5;90,49221286079946;
-1;0,0
0;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
3;93,69104984174186;
8;99,81268329568863;
8;99,81268329568863;
2;95,64819147669988;
-1;0,0
208;96,83772233983163;
7;99,87156593021867;
-1;0,0
1;0,0;
4;94,5202998336907;
-1;0,0
18;99,26719501674519;
3;92,78829291642427;
4;93,7300696111644;
2;80,09369028237381;
3;0,0;
-1;0,0
2;79,15861737407556;
8;99,89800173901827;
11;99,81744666867338;
16;99,75641717663383;
2;96,87993373706556;
2;95,91633609208111;
12;93,26272384398753;
12;89,98309093741041;
2;89,5693057414163;
2;78,0738444433815;
2;56,946621042087365;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
6;99,920493882994;
7;99,87156593021867;
10;99,84922475187294;
32;96,83772233983163;
2;91,72067799654332;
6;91,37601571899432;
20;89,7467909928829;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
6;99,920493882994;
4;99,90975188195183;
7;99,89602228197475;
4;99,80236906584037;
14;93,97306412050442;
4;91,49202083437518;
2;84,58500162272593;
3;67,5510354001294;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
6;99,92456326694385;
4;98,60422055663096;
64;97,17710255234094;
3;94,20368114964137;
3;94,07413625963935;
2;93,59414494443992;
37;92,77416162291094;
2;90,74565759231508;
2;85,798069522429;
2;81,97144746622128;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
2;0,0;
-1;0,0
-1;0,0
2;0,0;
1;0,0;
6;99,92456326694385;
6;99,9066463727876;
2;96,16686888896906;
7;94,70225468205635;
2;94,5297098729525;
16;93,55954828742658;
6;92,98466518089398;
2;81,97144746622128;
-1;0,0
1;0,0;
-1;0,0
0;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
6;99,92456326694385;
3;94,52986968559411;
12;93,65426464089681;
2;93,11013584368749;
16;92,43603432733741;
3;89,57236357953198;
2;69,43568160114751;
2;59,32039111799241;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
-1;0,0
-1;0,0
3;0,0;
-1;0,0
1;0,0;
-1;0,0
6;99,92456326694385;
10;99,85249405769227;
4;98,56813703476493;
2;96,89686467547025;
14;95,1003636838631;
3;94,70235954655122;
2;93,82201609259056;
12;93,65426464089681;
2;93,06378827191844;
6;92,8327293505766;
18;89,91796044155126;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
6;99,92456326694385;
14;99,81406901975234;
6;98,75976804826053;
6;98,75976804826053;
128;96,97665334438804;
3;93,95483866300134;
2;92,10133266344981;
11;92,01883610254573;
2;90,55545751684865;
2;84,58500162272593;
0;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
6;99,92456326694385;
4;99,91732068147311;
8;99,89800173901827;
10;99,86426867480408;
14;99,81406901975234;
7;99,81030931684401;
128;96,97665334438804;
2;96,89512810972106;
10;92,7186573592648;
3;85,87409577305954;
-1;0,0
0;0,0;
2;0,0;
2;0,0;
2;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
6;99,90942436707986;
1;0,0;
2;0,0;
-1;0,0
0;0,0;
1;0,0;
20;94,51474927416669;
2;0,0;
2;83,50353879125615;
2;81,97144746622128;
0;0,0;
-1;0,0
5;98,7105375263391;
3;81,93104064004484;
6;99,9066463727876;
2;94,10173707357778;
-1;0,0
17;99,2980542122583;
-1;0,0
6;99,90942436707986;
32;96,83772233983163;
2;93,681538905219;
12;93,65426464089681;
8;90,91375764943493;
3;90,74244030399541;
2;83,52061809259848;
2;83,50353879125615;
-1;0,0
2;0,0;
2;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
6;99,92044342932441;
6;99,90843603744631;
4;99,898487411482;
9;99,87754069241976;
64;97,17710255234094;
2;94,95659506638482;
3;86,54912707945283;
2;85,30604517068564;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
3;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
6;99,92044342932441;
24;99,7120413945758;
2;97,75775735334562;
208;96,83772233983163;
2;96,79579331944;
2;96,2918951621796;
2;94,95967780874814;
5;88,81745897263109;
4;86,23061573622624;
3;85,87409577305954;
2;74,77436710860138;
2;58,5008114771544;
1;0,0;
1;0,0;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
3;0,0;
-1;0,0
6;99,920493882994;
6;99,9066463727876;
14;99,75783628962867;
18;99,26719501674519;
128;96,97665334438804;
32;96,83772233983163;
5;95,2197850101096;
3;94,20368114964137;
2;92,94663201016702;
2;83,89044076221207;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
3;0,0;
-1;0,0
-1;0,0
6;99,920493882994;
7;99,8482594697127;
16;99,75641717663383;
15;98,42534532671999;
2;95,3200882457952;
11;91,34718994720268;
2;90,91235295221381;
2;88,67197836892605;
2;83,52061809259848;
1;0,0;
-1;0,0
1;0,0;
0;0,0;
0;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
6;99,920493882994;
4;99,91732068147311;
11;99,83958282661071;
17;99,2980542122583;
2;90,25526702058593;
3;89,28682810214916;
10;86,41449812498672;
2;84,58500162272593;
2;81,97144746622128;
2;58,5008114771544;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
2;0,0;
-1;0,0
1;0,0;
3;0,0;
-1;0,0
-1;0,0
6;99,920493882994;
4;99,89269623319693;
7;99,8482594697127;
6;92,8327293505766;
2;88,41014215787307;
2;81,97144746622128;
3;80,59440624784415;
-1;0,0
3;0,0;
-1;0,0
1;0,0;
-1;0,0
0;0,0;
-1;0,0
2;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
6;99,920493882994;
7;99,87156593021867;
16;99,40483197777999;
64;97,17710255234094;
2;95,17859586229305;
18;94,68455908452306;
3;92,25837208359849;
5;92,23392438615745;
3;90,44618763281701;
2;84,58500162272593;
2;83,50353879125615;
2;80,09369028237381;
-1;0,0
-1;0,0
2;0,0;
1;0,0;
1;0,0;
-1;0,0
3;0,0;
0;0,0;
6;99,920493882994;
6;99,90942436707986;
7;99,87156593021867;
16;93,55954828742658;
2;92,27421834044657;
14;90,66692703199358;
10;89,93973291285242;
3;89,90480280930704;
8;89,08303586074368;
2;83,52061809259848;
2;81,97144746622128;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
3;93,95483866300134;
2;81,97144746622128;
1;0,0;
-1;0,0
-1;0,0
4;99,92267261034615;
-1;0,0
-1;0,0
-1;0,0
2;92,94663201016702;
-1;0,0
7;99,5135857932445;
128;96,97665334438804;
-1;0,0
3;0,0;
0;0,0;
32;96,83772233983163;
4;99,80236906584037;
7;99,85643313470152;
3;78,51227106009122;
4;99,92267261034615;
6;99,90200436556943;
9;99,8405171883964;
2;96,86415569028046;
6;92,31854656574878;
3;91,42368469609032;
3;86,71158618577542;
3;67,5510354001294;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
0;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
4;99,92267261034615;
7;99,90541087854194;
8;99,17552312558824;
2;95,3200882457952;
3;95,28461525896826;
20;94,51474927416669;
4;93,4625661054467;
2;77,82501702633262;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
-1;0,0
1;0,0;
2;0,0;
1;0,0;
4;99,92267261034615;
6;99,92044342932441;
7;99,85643313470152;
3;93,69104984174186;
6;92,8327293505766;
8;92,64949010907728;
2;92,53281115640715;
28;91,95960227269295;
8;91,89906417950387;
2;91,28214191619686;
2;83,52061809259848;
2;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
4;99,92267261034615;
9;99,84398827115916;
3;94,20368114964137;
20;91,13322226620694;
2;88,64185667046196;
2;82,54314920907618;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
4;99,92267261034615;
7;99,81030931684401;
19;99,40112208863388;
32;96,83772233983163;
12;93,65426464089681;
16;90,93007596462749;
7;89,19424578317016;
3;85,87409577305954;
2;79,15861737407556;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
2;0,0;
4;99,97302612854475;
4;99,92267261034615;
8;99,91279727537542;
6;99,90843603744631;
22;99,79977624513772;
11;99,7673197007609;
2;91,0429310327601;
3;89,57236357953198;
2;85,1591769285187;
2;81,97144746622128;
2;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
4;99,97302612854475;
4;99,88043934083544;
2;92,94663201016702;
2;87,73878277186446;
2;87,44957545363339;
3;85,87409577305954;
3;67,5510354001294;
3;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
4;99,97302612854475;
5;98,83663745965782;
8;92,64949010907728;
-1;0,0
2;0,0;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,97302612854475;
7;99,90541087854194;
7;99,81030931684401;
64;97,17710255234094;
32;96,83772233983163;
2;95,59561104180689;
114;94,47816772180485;
2;88,43690057247493;
2;84,65803697856106;
2;83,52061809259848;
2;81,97144746622128;
2;79,45516034907585;
3;67,5510354001294;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
2;83,50353879125615;
208;96,83772233983163;
1;0,0;
1;0,0;
-1;0,0
2;0,0;
-1;0,0
0;0,0;
4;98,55898605169445;
-1;0,0
2;94,5297098729525;
1;0,0;
128;96,97665334438804;
-1;0,0
-1;0,0
6;92,8327293505766;
4;98,60422055663096;
-1;0,0
6;99,9066463727876;
-1;0,0
6;99,9066463727876;
4;99,88043934083544;
5;99,7884899012692;
208;96,83772233983163;
110;93,29963371626336;
20;92,15179297267825;
2;91,66189025773375;
2;91,66189025773375;
-1;0,0
2;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
2;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
6;99,9066463727876;
7;99,87156593021867;
4;99,81586389013135;
3;96,42970973252748;
2;96,00568024162584;
3;90,54634598379292;
2;81,97144746622128;
2;72,8062958642207;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
3;99,96490761976735;
18;99,26719501674519;
2;96,87993373706556;
3;95,28910724840493;
23;94,83101276346594;
21;94,74877179722282;
4;91,49202083437518;
2;90,73661880936783;
3;87,82278739105993;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
3;99,96490761976735;
4;99,84555154832849;
19;99,40112208863388;
32;96,83772233983163;
3;94,58714788601176;
8;92,64949010907728;
10;91,3597676416838;
3;81,93104064004484;
2;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
0;0,0;
3;99,96490761976735;
9;98,37993897955731;
2;96,55989541923108;
2;95,65224494287938;
2;88,92360019600576;
2;85,42284848512567;
2;84,58500162272593;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
3;99,96490761976735;
5;99,92391434058213;
4;99,91732068147311;
7;99,87156593021867;
10;99,36331045803355;
2;95,3200882457952;
2;92,70322353851736;
3;89,90480280930704;
2;89,37411834069621;
2;86,16245911374378;
2;78,0738444433815;
2;58,5008114771544;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
3;99,96490761976735;
17;99,32471991370156;
6;98,75976804826053;
7;95,23301822638824;
2;86,99567482122205;
3;86,76403145272202;
6;71,0102119495254;
-1;0,0
1;0,0;
1;0,0;
2;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
0;0,0;
3;99,96490761976735;
3;99,95866058115237;
6;99,84051664220392;
14;99,81406901975234;
2;96,08669759902584;
2;95,67796920570902;
2;95,52338518964156;
3;95,00610502886362;
3;93,69104984174186;
3;83,06245157329074;
7;82,53870932623934;
2;72,8062958642207;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
2;0,0;
3;99,97150312243164;
6;99,9066463727876;
7;99,8482952323366;
15;99,33865290191775;
17;99,2980542122583;
14;98,05754835284293;
32;96,83772233983163;
18;94,68455908452306;
3;93,69104984174186;
8;92,64949010907728;
18;91,70862205145434;
4;91,13182747908736;
3;67,5510354001294;
2;58,5008114771544;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
14;99,82205641356765;
3;85,87409577305954;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
2;0,0;
1;0,0;
4;99,898487411482;
2;89,71429881826977;
7;99,81030931684401;
-1;0,0
2;89,6156822931407;
4;99,92657274071996;
-1;0,0
3;94,07413625963935;
4;99,92657274071996;
6;99,9066463727876;
7;99,81030931684401;
9;98,27814313026856;
2;95,57006866101129;
5;93,21099897043578;
3;91,36660325008215;
2;91,18309745869256;
6;90,38955984656805;
2;87,46848064267527;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
4;99,92657274071996;
4;99,91732068147311;
6;99,9066463727876;
6;99,9066463727876;
6;99,90200436556943;
19;99,40112208863388;
2;95,9610380413899;
6;92,2405519238455;
14;90,66692703199358;
2;88,35800968951501;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
4;99,9244922296626;
7;99,87156593021867;
9;98,27814313026856;
8;97,0293077225736;
128;96,97665334438804;
32;96,83772233983163;
2;93,97378043445754;
2;89,93265917178962;
2;87,52762066535304;
2;87,37552864604748;
2;71,2808841851063;
2;56,946621042087365;
-1;0,0
0;0,0;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,90692748317966;
14;99,82205641356765;
24;99,7120413945758;
5;91,12797298625779;
12;90,71313819733615;
2;83,50353879125615;
2;81,97144746622128;
2;81,97144746622128;
2;81,97144746622128;
3;67,5510354001294;
0;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
4;99,92657274071996;
6;99,92044342932441;
4;99,91732068147311;
10;99,85249405769227;
32;96,83772233983163;
4;94,24694467826657;
6;92,8327293505766;
2;86,75471807157314;
2;59,32039111799241;
2;57,06689804536978;
-1;0,0
0;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
4;99,92657274071996;
6;99,90692748317966;
4;99,88043934083544;
7;99,8482952323366;
32;96,83772233983163;
2;92,69547982655743;
2;81,97144746622128;
2;80,09369028237381;
2;56,946621042087365;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
4;99,92657274071996;
4;99,91732068147311;
8;99,28717937610084;
26;99,0528134082168;
64;97,17710255234094;
32;96,83772233983163;
6;92,8327293505766;
5;91,12797298625779;
2;88,92360019600576;
2;76,82403620978788;
0;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
7;99,87156593021867;
5;99,42446108047746;
8;99,28717937610084;
2;97,7594464252589;
3;91,36660325008215;
3;81,93104064004484;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
2;0,0;
2;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
8;99,89800173901827;
24;99,7120413945758;
5;99,42446108047746;
3;92,63758120526848;
37;92,20261263125475;
2;91,66189025773375;
3;81,47795217830726;
2;78,0738444433815;
3;67,5510354001294;
3;67,5510354001294;
1;0,0;
3;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
2;0,0;
1;0,0;
-1;0,0
2;79,15861737407556;
2;0,0;
6;99,92456326694385;
-1;0,0
1;0,0;
3;99,97150312243164;
14;99,82205641356765;
-1;0,0
2;0,0;
-1;0,0
2;0,0;
-1;0,0
2;91,66189025773375;
7;99,85643313470152;
2;88,64892212943629;
-1;0,0
-1;0,0
0;0,0;
2;59,32039111799241;
-1;0,0
3;99,97150312243164;
13;99,74336935119712;
64;97,17710255234094;
2;96,8313787473776;
2;96,17885491277418;
10;92,7186573592648;
3;90,7194214655332;
3;85,87409577305954;
1;0,0;
1;0,0;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
3;99,97150312243164;
3;99,95866058115237;
7;99,8482952323366;
7;99,8482952323366;
128;96,97665334438804;
2;95,41723644309226;
14;93,97306412050442;
2;83,52061809259848;
3;81,93104064004484;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;0,0;
3;99,97150312243164;
6;99,90692748317966;
7;99,89015476579081;
7;99,81030931684401;
13;99,74336935119712;
32;96,83772233983163;
2;94,98175542535142;
4;92,95398440201484;
2;81,97144746622128;
3;81,47795217830726;
3;80,59440624784415;
1;0,0;
1;0,0;
-1;0,0
3;0,0;
2;0,0;
-1;0,0
1;0,0;
-1;0,0
0;0,0;
3;99,97150312243164;
6;99,90942436707986;
8;99,81268329568863;
17;99,2980542122583;
3;93,60511290344742;
2;92,94663201016702;
3;83,06245157329074;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
2;0,0;
-1;0,0
1;0,0;
3;99,97150312243164;
16;99,75641717663383;
64;97,17710255234094;
64;97,17710255234094;
18;94,68455908452306;
2;94,5297098729525;
6;94,16320386794371;
3;93,93944431931226;
6;91,37601571899432;
2;79,15861737407556;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
3;99,97870644942533;
12;99,86133976087113;
16;99,40483197777999;
64;97,17710255234094;
2;96,1654930998218;
2;85,50414131072274;
1;0,0;
-1;0,0
-1;0,0
2;0,0;
1;0,0;
1;0,0;
1;0,0;
1;0,0;
0;0,0;
2;0,0;
3;0,0;
3;0,0;
2;0,0;
-1;0,0
3;99,97870644942533;
17;99,2980542122583;
208;96,83772233983163;
16;93,55954828742658;
2;85,66078901935276;
2;56,946621042087365;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
0;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
3;99,97870644942533;
6;99,90200381284272;
10;99,85249405769227;
10;99,82606039577878;
7;99,5135857932445;
3;94,52986968559411;
2;90,9592310033741;
2;89,16930058264865;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
2;0,0;
3;99,97870644942533;
4;99,91732068147311;
7;99,86723022279394;
7;99,86722870778947;
32;96,83772233983163;
8;92,64949010907728;
2;89,93265917178962;
2;88,64547906665214;
2;85,21956246939027;
2;83,52061809259848;
3;83,06245157329074;
3;81,93104064004484;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
7;99,90541087854194;
-1;0,0
2;84,58500162272593;
-1;0,0
2;0,0;
4;99,84555154832849;
-1;0,0
1;0,0;
1;0,0;
0;0,0;
6;99,90200381284272;
6;99,90200381284272;
2;87,23893514824206;
2;89,39347061756686;
-1;0,0
10;92,7186573592648;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,90975188195183;
12;99,86133976087113;
13;99,33447858840435;
4;98,55687454304645;
2;95,419422666515;
3;91,36660325008215;
2;88,49164875802327;
2;87,48463828178437;
3;67,5510354001294;
2;58,5008114771544;
0;0,0;
-1;0,0
-1;0,0
3;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,90975188195183;
9;99,8405171883964;
5;99,7884899012692;
8;99,28717937610084;
32;96,83772233983163;
3;95,87957178284834;
2;94,5297098729525;
3;80,59440624784415;
2;78,0738444433815;
2;76,82403620978788;
4;75,35042464615321;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
4;99,90975188195183;
14;99,81295627081047;
8;99,28717937610084;
15;98,62864607121698;
32;96,83772233983163;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
0;0,0;
2;0,0;
4;99,90975188195183;
4;99,88043934083544;
9;99,87754069241976;
14;99,82205641356765;
20;99,82008828957385;
32;96,83772233983163;
2;96,01824354009774;
3;89,66050382741447;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
3;99,99953612047227;
4;99,92267261034615;
7;99,87156593021867;
3;95,69358708997427;
9;91,48588795580201;
2;90,79525501559058;
2;81,97144746622128;
2;71,2808841851063;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
-1;0,0
-1;0,0
0;0,0;
0;0,0;
3;99,99953612047227;
6;99,90692748317966;
5;99,7884899012692;
2;95,55629385550786;
2;94,61108507764281;
3;94,5301723610224;
20;94,51474927416669;
2;94,13079277826422;
12;93,65426464089681;
3;93,57996072621158;
10;92,7186573592648;
7;90,96866643425446;
2;90,63982000172098;
2;79,15861737407556;
-1;0,0
1;0,0;
-1;0,0
0;0,0;
-1;0,0
-1;0,0
3;99,99953612047227;
8;99,89800173901827;
9;99,8405171883964;
10;99,75219528171088;
32;96,83772233983163;
32;96,83772233983163;
2;96,79579331944;
2;95,13941828764449;
3;93,93853852702951;
16;93,55954828742658;
3;93,46118879894189;
3;81,47795217830726;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
0;0,0;
3;99,99953612047227;
7;99,90278676060157;
7;99,89602228197475;
12;99,86133976087113;
7;99,81030931684401;
11;99,7673197007609;
24;99,7120413945758;
2;93,83386767717516;
16;93,5074875904839;
2;85,90007762780068;
3;81,47795217830726;
2;79,15861737407556;
2;56,946621042087365;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
3;99,99953612047227;
7;99,87156593021867;
4;99,84555154832849;
64;97,17710255234094;
2;92,35202370862831;
3;91,95716289828492;
2;91,36992852740829;
2;79,15861737407556;
2;59,32039111799241;
2;56,946621042087365;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
-1;0,0
20;99,82008828957385;
-1;0,0
3;96,42970973252748;
-1;0,0
3;93,48058393168594;
1;0,0;
2;97,7543677177799;
1;0,0;
1;0,0;
32;96,83772233983163;
-1;0,0
-1;0,0
2;96,88260156805725;
9;99,8405171883964;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
9;99,8405171883964;
16;99,75641717663383;
32;96,83772233983163;
2;94,5297098729525;
2;83,93443380355879;
2;57,06689804536978;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
2;0,0;
0;0,0;
4;99,92267261034615;
7;99,8482952323366;
9;99,84398827115916;
5;99,7884899012692;
5;98,83663745965782;
32;96,83772233983163;
2;95,56896661812522;
18;94,68455908452306;
16;93,55954828742658;
-1;0,0
1;0,0;
1;0,0;
0;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
4;99,92267261034615;
9;99,8405171883964;
2;94,5297098729525;
2;94,5297098729525;
3;90,54634598379292;
2;84,58500162272593;
3;81,93104064004484;
-1;0,0
0;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
-1;0,0
0;0,0;
1;0,0;
1;0,0;
1;0,0;
3;99,95866058115237;
7;99,90541087854194;
7;99,8482952323366;
2;95,5221311749619;
3;91,87318109224327;
2;91,52924377558361;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
3;99,95866058115237;
4;99,92657274071996;
6;99,90824662519503;
6;99,90692748317966;
8;99,89800173901827;
7;99,81030931684401;
7;99,81030931684401;
7;99,81030931684401;
128;96,97665334438804;
6;92,8327293505766;
2;81,97144746622128;
2;76,82403620978788;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
3;99,95866058115237;
6;99,90200381284272;
8;99,81268329568863;
2;99,66045929272136;
9;95,90674586854136;
2;94,64314546219532;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
0;0,0;
3;99,97150312243164;
4;99,88043934083544;
22;99,79977624513772;
16;99,75641717663383;
64;97,17710255234094;
32;96,83772233983163;
4;92,95398440201484;
2;84,58500162272593;
3;80,59440624784415;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
3;99,97150312243164;
6;99,9066463727876;
6;99,9066463727876;
7;99,8482952323366;
2;97,75266712512253;
2;94,5297098729525;
3;94,38133026785988;
3;92,63758120526848;
2;92,59848063912301;
3;91,14424256667783;
5;91,12797298625779;
