@relation 'winequality-red-weka.filters.unsupervised.attribute.Remove-R1,4-9'

@attribute volatile numeric
@attribute citric numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
0.59,0.01,0.59,9.8,5
0.35,0.41,0.5,9.5,5
0.35,0.41,0.5,9.5,5
0.56,0.24,0.56,10.1,6
0.56,0.24,0.56,10.1,6
0.63,0.17,0.52,9.3,5
0.37,0.43,0.68,9.7,6
0.64,0.17,0.54,9.6,5
0.61,0.02,0.6,9.7,6
0.6,0,0.56,10.8,5
0.27,0.54,0.53,12.5,6
0.89,0.3,1.18,10.2,5
0.46,0.31,0.74,9.6,5
0.37,0.44,0.81,10.8,7
0.5,0.34,0.52,10.7,6
0.5,0.34,0.52,10.7,6
0.61,0.08,0.51,9.4,5
0.55,0.09,0.44,10,5
0.585,0,0.94,12.9,7
0.56,0.08,0.66,9.6,6
0.52,0.22,0.57,9.9,6
0.28,0.4,0.7,12.8,7
0.25,0.39,0.71,12.5,7
0.28,0.4,0.7,12.8,7
0.53,0.12,0.86,9.2,5
0.48,0.31,0.55,10.3,6
0.49,0.1,0.47,10.5,5
0.5,0.55,0.68,10.9,6
0.45,0.33,0.71,10.8,5
0.39,0.24,0.58,11.4,4
0.41,0.54,0.76,11.3,6
0.45,0.33,0.71,10.8,5
0.51,0.19,0.58,10.5,6
0.29,0.42,0.73,11.9,6
0.715,0,0.45,9.4,5
0.66,0.15,0.54,9.6,5
0.685,0,0.6,9.7,5
0.42,0,0.74,14,7
0.54,0.13,0.64,9.8,5
0.54,0.13,0.64,9.8,5
0.48,0.28,0.53,10.3,5
0.46,0.14,0.49,10.7,5
0.27,0.34,0.64,11,7
0.46,0.14,0.49,10.7,5
0.57,0.09,0.74,12.7,8
0.61,0.08,0.77,11.1,6
0.685,0.07,0.55,10.9,4
0.61,0.08,0.77,11.1,6
0.44,0.42,0.86,9.9,3
0.47,0.44,0.86,9.9,4
0.685,0.26,0.47,9.4,5
0.665,0.1,0.51,9.3,5
0.28,0.28,0.39,11.7,7
0.28,0.28,0.39,11.7,7
0.31,0.35,0.83,11.2,7
0.5,0.04,0.47,10,5
0.42,0.47,0.77,12.1,7
0.66,0,0.63,10.3,5
0.5,0.45,0.72,10.9,6
0.685,0.35,0.62,9.4,5
0.25,0.46,0.83,10.6,6
0.64,0.21,0.66,9.8,5
0.64,0.21,0.66,9.8,5
0.68,0.16,0.7,9.9,6
0.64,0.21,0.66,9.8,5
0.63,0.21,0.66,9.8,5
0.43,0.44,0.55,9.5,5
0.43,0.44,0.55,9.5,5
0.42,0.32,1.07,9.7,5
0.36,0.39,0.73,10.9,6
0.36,0.39,0.73,10.9,6
0.735,0.02,0.71,11.7,7
0.36,0.39,0.73,10.9,6
0.26,0.34,0.78,11.3,7
0.28,0.47,0.67,10.6,7
0.56,0.22,0.82,11.2,6
0.62,0.06,0.54,9.5,5
1.01,0.66,0.6,11.5,6
0.42,0.32,0.44,10.4,5
0.62,0.06,0.53,9.7,5
0.62,0.06,0.54,9.5,5
0.635,0.07,0.54,9.7,5
0.49,0.22,0.83,11.3,6
0.51,0.23,0.84,11.2,6
0.56,0.22,0.82,11.2,6
0.63,0.03,0.64,10.9,6
0.715,0.01,0.57,11.8,6
0.56,0.03,0.57,10.6,5
0.35,0.24,0.54,10,4
0.21,0.37,0.58,11.1,7
0.38,0.46,0.65,11.8,7
0.31,0.4,0.79,11.8,7
0.47,0,0.58,10.9,4
0.715,0.01,0.57,11.8,6
0.61,0.19,0.5,10,6
0.6,0.04,0.55,9.5,5
0.56,0.18,0.49,9.9,5
0.715,0,0.65,11.4,6
0.31,0.29,0.78,12,6
0.6,0.04,0.55,9.5,5
0.61,0.19,0.5,10,6
0.75,0.14,0.64,10.5,5
0.8,0.12,0.65,10.4,6
0.52,0.38,0.79,12.1,7
0.57,0,0.56,11.2,6
0.9,0.34,0.68,9.3,5
0.34,0.24,0.58,10.1,5
0.66,0.03,0.57,9.7,5
0.45,0.23,0.65,9.3,6
0.66,0.03,0.57,9.7,5
0.63,0.03,0.58,9.8,6
0.59,0.01,0.58,10.7,6
0.31,0.39,0.77,12.5,7
0.59,0.01,0.58,10.7,6
0.31,0.39,0.77,12.5,7
1.02,0.02,0.49,11,3
0.31,0.36,0.69,11.8,5
0.635,0.1,0.69,10.8,7
0.635,0.1,0.69,10.8,7
0.59,0.06,0.59,10.8,7
0.59,0.06,0.59,10.8,7
0.58,0.2,0.59,9.5,5
0.54,0.27,0.71,11,5
0.56,0,0.54,11.5,6
0.52,0.13,0.59,10.8,6
0.305,0.39,0.52,11.5,6
0.38,0.48,0.57,13.2,6
0.28,0.46,0.6,10.9,6
0.46,0.44,0.62,12.2,6
0.395,0.46,0.64,12.2,7
0.305,0.39,0.52,11.5,6
0.315,0.4,0.67,11.9,6
0.715,0.19,0.61,11,5
0.41,0.31,0.64,10.1,6
0.36,0.32,0.72,11,6
0.62,0.12,0.89,11.8,6
0.41,0.37,0.56,10.5,5
0.36,0.32,0.72,11,6
0.62,0.12,0.89,11.8,6
0.41,0.31,0.64,10.1,6
0.47,0.27,0.8,11.2,5
0.22,0.36,0.87,11,7
0.24,0.33,0.9,10.2,6
0.67,0.19,0.59,9.2,4
0.47,0.27,0.8,11.2,5
0.33,0.38,0.73,12,7
0.61,0.01,0.73,10.5,5
0.61,0.01,0.65,9.8,5
0.4,0.29,0.59,9.5,6
0.61,0.01,0.65,9.8,5
0.61,0.01,0.73,10.5,5
0.3,0.38,0.72,11.8,6
0.3,0.38,0.72,11.8,6
0.63,0.5,0.6,10.4,4
0.38,0.38,0.72,12.9,7
0.46,0.17,0.54,11.4,5
0.33,0.52,0.76,12.4,7
0.27,0.49,0.52,12.5,7
0.43,0.4,0.64,10,7
0.5,0.34,0.6,9.7,7
0.3,0.49,0.64,12.1,7
0.44,0.42,0.79,11.1,7
0.44,0.58,0.99,12,7
0.28,0.48,0.62,12.4,7
0.12,0.45,0.76,11.9,7
0.12,0.45,0.76,11.9,7
0.12,0.45,0.76,11.9,7
0.28,0.48,0.62,12.4,7
0.31,0.4,0.68,11.2,7
0.34,0.48,0.69,12.1,7
0.43,0.4,0.54,12.2,6
0.21,0.52,0.67,10.4,5
0.36,0.52,0.62,11.3,6
0.37,0.52,0.58,11.1,6
0.57,0.12,0.71,11.3,7
0.59,0.05,0.61,10,5
0.47,0.27,0.85,11.1,6
0.56,0.14,0.62,9.3,5
0.57,0.02,0.69,9.5,5
0.27,0.39,0.69,11.2,6
0.47,0.27,0.85,11.1,6
0.34,0.4,0.86,11,6
0.38,0.41,0.58,11.9,7
0.66,0.2,0.48,9.2,5
0.4,0.43,0.6,12.2,6
0.56,0.09,0.61,10.2,5
0.26,0.48,0.87,10.9,6
0.26,0.48,0.87,10.9,6
0.38,0.5,0.65,11.6,7
0.34,0.44,0.63,10.7,5
0.33,0.41,0.62,12.1,7
0.41,0.3,0.52,9.4,5
0.41,0.3,0.52,9.4,5
0.59,0.29,0.5,9.1,5
0.4,0.32,0.49,11.3,7
0.45,0.49,0.63,10.4,5
0.5,0.3,0.71,10.5,6
0.86,0.26,0.62,10,5
0.52,0.32,0.82,12.9,6
0.5,0.3,0.71,10.5,6
0.45,0.49,0.63,10.4,5
0.58,0,0.58,11.3,6
0.34,0.39,0.55,11.4,7
0.36,0.3,0.5,9.4,5
0.39,0.12,0.49,9.4,5
0.295,0.4,0.51,10.9,6
0.39,0.12,0.49,9.4,5
0.34,0.28,0.48,9.4,5
0.4,0.1,0.48,9.4,6
0.34,0.28,0.48,9.4,5
0.35,0.45,0.43,9.4,5
0.6,0.06,0.62,10.1,6
0.66,0,0.63,12.8,7
0.66,0,0.63,12.8,7
0.84,0.34,0.48,9.1,6
0.69,0,0.53,12.9,6
0.43,0.3,0.72,11.5,7
0.35,0.38,0.82,10.6,7
0.29,0.33,0.84,11.7,7
0.36,0.32,0.55,12.8,7
0.43,0.29,0.54,10.3,5
0.36,0.32,0.55,12.8,7
0.29,0.33,0.84,11.7,7
0.3,0.34,0.84,11.7,7
0.35,0.4,0.7,12,7
0.5,0.36,0.68,10.9,5
0.28,0.45,0.55,12.3,7
0.32,0.31,0.55,10.4,6
1.005,0.15,0.48,10,5
0.71,0,0.58,10,6
0.58,0.16,0.58,11.2,6
0.39,0.46,0.84,11.4,6
0.38,0.4,0.75,12.6,7
0.18,0.37,0.44,12.7,6
0.18,0.37,0.44,12.7,6
0.5,0.14,0.61,10.4,5
0.36,0.66,0.53,11.9,6
0.36,0.66,0.53,11.9,6
0.51,0.09,0.54,10.5,5
0.32,0.42,0.55,12.3,6
0.58,0.01,0.56,10.5,7
0.83,0,0.6,10.4,6
0.31,0.32,0.56,12.6,6
0.795,0,0.52,11.6,5
0.34,0.21,0.54,10.1,6
0.58,0.01,0.56,10.5,7
0.59,0,0.55,11.5,7
0.55,0.01,0.58,11,7
0.82,0,0.53,9.6,5
0.57,0.08,0.59,10.4,6
0.745,0.18,0.47,9.7,6
0.37,0.34,0.65,10.6,7
0.31,0.34,0.59,12.5,7
0.91,0.1,0.56,9.2,5
0.41,0.41,0.77,12.6,7
0.5,0.21,0.83,11.1,6
0.965,0,0.67,10.2,5
0.49,0.19,0.64,9.8,6
0.5,0.21,0.83,11.1,6
0.39,0.41,0.81,10.9,7
0.39,0.33,0.62,12.2,6
0.44,0,0.58,11.4,6
0.78,0,0.62,10.7,6
0.43,0.17,0.64,10.4,5
0.49,0.36,0.78,10.9,6
0.5,0.36,0.77,10.8,6
0.43,0.17,0.64,10.4,5
0.46,0.59,1.34,9.2,5
0.605,0.05,0.55,12.9,5
0.33,0.42,0.77,12.7,7
0.64,0.27,0.62,9.1,6
0.64,0.27,0.62,9.1,6
0.48,0.53,0.59,12.1,7
0.42,0.25,0.57,9.1,5
0.53,0.57,0.76,11.6,7
0.48,0.53,0.59,12.1,7
0.23,0.57,0.7,9.9,6
0.4,0.5,0.69,12.5,8
0.38,0.44,0.64,11.4,6
0.29,0.65,0.63,11.8,6
0.74,0.09,0.57,11.8,6
0.61,0.18,0.6,10.2,6
0.52,0.08,0.72,12.5,7
0.31,0.53,0.83,10.9,7
0.31,0.53,0.83,10.9,7
0.62,0.35,0.62,10.8,5
0.33,0.45,0.89,11.1,7
0.77,0.2,0.58,9.2,5
0.35,0.26,0.58,9.5,6
0.62,0.33,0.58,10.7,6
0.77,0.2,0.58,9.2,5
0.25,0.34,0.86,10.2,7
0.32,0.56,0.73,11.4,6
0.37,0.65,0.58,11,5
0.37,0.65,0.58,11,5
0.3,0.68,0.51,12.3,7
0.27,0.56,0.51,11.8,6
0.3,0.68,0.51,12.3,7
0.38,0.3,0.59,9.5,6
0.42,0.45,0.77,12,6
0.38,0.3,0.59,9.5,6
0.48,0.08,0.49,9.6,5
0.34,0.4,0.66,11.6,7
0.19,0.42,0.69,11.2,6
0.41,0.54,0.76,9.9,7
0.41,0.54,0.76,9.9,7
0.26,0.54,0.63,11.8,8
0.34,0.42,0.6,11.4,6
0.54,0.09,0.59,11.5,6
0.31,0.36,0.86,12,7
0.725,0.09,0.49,10.8,6
0.4,0.47,0.5,10.5,5
0.725,0.09,0.49,10.8,6
0.52,0.38,0.52,9.4,5
0.31,0.45,0.81,12.5,7
0.52,0.38,0.52,9.4,5
0.34,0.42,0.78,12.4,6
0.49,0.27,0.63,12,6
0.48,0.09,0.54,11.2,6
0.49,0.27,0.63,12,6
0.48,0.34,0.66,12.4,6
0.57,0.28,0.6,12.8,5
0.23,0.42,0.54,12.3,6
0.3,0.41,0.85,11.7,7
0.78,0.1,0.49,9.5,5
0.47,0.43,0.76,10.8,6
0.53,0,0.64,10,6
0.42,0.27,0.64,12.3,7
0.33,0.41,0.71,11,6
0.24,0.39,0.59,9.5,6
0.4,0.5,0.66,13.6,6
0.69,0.07,0.6,11.3,6
0.69,0.07,0.6,11.3,6
0.69,0.07,0.6,11.3,6
0.39,0.12,0.53,13.3,6
0.66,0,0.58,12.9,5
0.54,0.34,0.72,13.1,8
0.5,0,0.55,12.3,6
0.47,0,0.48,12.3,6
0.4,0.37,0.65,11.2,6
0.58,0,0.62,11.5,4
0.24,0.35,0.59,11.3,7
0.29,0.26,0.54,13.5,6
0.76,0,0.6,11.5,6
0.43,0.33,0.68,10,5
0.43,0.35,0.69,10.5,6
0.6,0,0.63,10.4,6
0.19,0.21,0.44,9.5,5
0.36,0.34,0.88,13.6,7
0.48,0.07,0.68,11.2,7
0.28,0.35,0.74,11.8,7
0.25,0.43,0.6,11.9,6
0.52,0.45,0.76,11.4,6
0.52,0.45,0.76,11.4,6
0.41,0.15,0.58,9.1,5
0.51,0.24,0.64,9.5,6
0.4,0.3,0.65,9.5,6
0.38,0.32,0.85,11,6
0.45,0.11,0.65,11.4,6
0.22,0.3,0.82,10,6
0.32,0.23,0.62,10.1,5
0.2,0.43,0.81,10.4,6
0.5,0.12,0.87,9.8,6
0.41,0.45,0.49,11.8,7
0.39,0.42,0.66,11.6,6
0.35,0.47,0.52,12,6
0.33,0.32,0.76,12.8,7
0.58,0.23,0.65,12.5,6
0.6,0.25,0.53,9.8,5
0.42,0.35,0.66,11.1,6
0.58,0,0.68,11.4,6
0.6,0.25,0.53,9.8,5
0.18,0.51,0.76,11.8,7
0.51,0.18,0.87,12.9,7
0.41,0.43,1.16,10.6,6
0.41,0.43,0.67,10.8,5
0.36,0.57,0.72,11.1,7
0.45,0.43,0.75,10.2,6
0.32,0.42,0.71,11.8,7
0.785,0.24,0.67,10,5
0.785,0.24,0.67,10,5
0.44,0.5,1.1,9.4,5
0.54,0.26,0.98,10.2,5
0.33,0.39,0.88,12.4,7
0.34,0.27,0.56,12,6
0.5,0.29,0.62,11.5,6
0.36,0.34,0.67,10.5,6
0.59,0,0.68,10.8,6
0.42,0.46,0.74,12.3,6
0.36,0.31,0.62,9.5,6
0.36,0.31,0.62,9.5,6
0.61,0,0.7,11.5,6
0.88,0.03,0.5,11.2,4
0.66,0,0.66,12.7,7
0.915,0,0.73,11.4,5
0.35,0.33,0.81,11,6
0.35,0.33,0.81,11,6
0.39,0.43,0.46,11.4,5
0.4,0.4,0.86,10.5,6
0.66,0.07,0.6,9.3,5
0.64,0.23,0.7,10.9,5
0.43,0.3,0.46,11.9,6
0.8,0.03,0.5,12.2,5
0.43,0.3,0.46,11.9,6
0.64,0.23,0.7,10.9,5
0.955,0.05,0.44,9.6,4
0.4,0.57,0.57,12.5,6
0.885,0,0.51,10.8,5
0.25,0.37,0.8,12.4,7
0.885,0,0.51,10.8,5
0.745,0.12,0.59,9.5,6
0.43,0.22,0.6,9.5,6
0.58,0.23,0.58,9.5,6
0.57,0.21,0.54,9.8,6
0.26,0.26,0.79,10.9,6
0.58,0.23,0.58,9.5,6
0.57,0.21,0.54,9.8,6
0.34,0.36,0.54,11.2,7
0.42,0.39,0.69,11.7,8
0.74,0.19,0.55,9.4,5
0.36,0.46,0.85,11,7
0.36,0.46,0.85,11,7
0.36,0.46,0.85,11,7
0.72,0.55,0.94,10,5
0.36,0.46,0.85,11,7
0.39,0.43,0.87,11.2,7
0.65,0.02,0.62,10.4,6
0.44,0.15,0.62,9.3,5
0.65,0.02,0.62,10.4,6
0.38,0.42,0.75,10.5,6
0.33,0.46,0.48,10.4,6
0.27,0.46,0.56,11.3,6
0.57,0.31,0.69,9.5,6
0.34,0.37,0.81,12,6
0.4,0.31,0.69,10.6,6
0.39,0.4,0.83,10.9,6
0.32,0.52,0.77,11.5,6
0.32,0.52,0.77,11.5,6
0.53,0.22,0.46,9.6,6
0.36,0.47,0.76,12,6
0.39,0.49,0.82,10.3,6
0.46,0.23,0.51,9.4,5
0.58,0.03,0.47,9.2,5
0.58,0.25,0.72,9.6,5
0.42,0,0.73,13.6,7
0.43,0.29,0.64,9.5,5
0.18,0.34,0.78,11.8,6
0.815,0.01,0.62,10.8,5
0.43,0.29,0.64,9.5,5
0.23,0.37,0.49,9.3,4
0.75,0.01,0.4,12.8,6
0.33,0.32,0.56,11.5,4
0.55,0,0.64,9.4,6
0.75,0.01,0.4,12.8,6
0.73,0,0.46,9.6,4
0.67,0,0.56,11.8,4
0.61,0.2,0.4,9.3,5
0.37,0.39,0.59,9.8,5
0.4,0.41,0.6,12.2,6
0.56,0.22,0.62,9.5,5
0.29,0.25,0.54,10.3,6
0.55,0.19,0.68,10.5,5
0.74,0.07,0.48,10,5
0.55,0.19,0.68,10.5,5
0.41,0.33,0.75,11.1,6
0.6,0.01,0.61,10.9,6
0.6,0.01,0.61,10.9,6
0.58,0.14,0.59,9.8,5
0.72,0,0.58,9.8,5
0.66,0,0.58,9.5,5
0.7,0.06,0.69,10.9,5
0.64,0.02,0.45,11,5
0.59,0.22,0.42,9.2,5
0.58,0.28,0.7,11,6
0.64,0,0.63,11.3,6
0.64,0,0.63,11.3,6
0.635,0.68,1.15,9.3,5
1.02,0,0.55,11.2,4
0.45,0.38,0.58,9.8,5
0.78,0,0.46,9.6,4
0.37,0.32,0.72,11.8,6
0.57,0.05,0.6,10.3,6
0.57,0.05,0.6,10.3,6
0.43,0.5,0.87,11.4,6
0.41,0.31,0.55,9.5,6
0.49,0.03,0.82,14,8
0.38,0.01,0.75,14,6
0.44,0.2,0.57,11.7,6
0.46,0,0.53,11.2,5
0.58,0.2,0.43,9.3,5
0.58,0.13,0.53,11.2,6
0.715,0.22,0.54,9.5,6
0.4,0.4,0.56,12,4
0.69,0,0.6,9.7,6
0.715,0.22,0.54,9.5,6
0.3,0.39,0.57,11.5,7
0.46,0.2,0.64,10.4,6
0.46,0.2,0.64,10.4,6
0.765,0,0.68,10.9,6
0.63,0.28,0.63,10.2,6
0.42,0.19,0.56,10.9,5
0.37,0.5,0.57,10.5,5
0.16,0.44,0.54,12.4,6
0.6,0.08,0.37,13,5
0.6,0.3,1.17,10.2,5
0.6,0.3,1.17,10.2,5
0.74,0,0.59,11,5
0.635,0.1,0.75,10.9,6
0.395,0.13,0.67,12.4,6
0.755,0,0.49,9.7,4
0.635,0.1,0.75,10.9,6
0.63,0,0.45,9.5,5
0.63,0,0.45,9.5,5
0.53,0.14,0.61,12.1,6
0.6,0,0.56,12.2,6
1.58,0,0.4,10.9,3
0.645,0,0.61,12.5,6
0.86,0.07,0.74,11.7,6
0.37,0.32,0.8,11.2,6
0.28,0.44,0.66,11.2,5
0.79,0.21,0.44,9.2,5
0.61,0.26,0.53,9.8,5
0.69,0.32,0.62,10.1,5
0.68,0.09,0.52,11.1,4
0.69,0.32,0.62,10.1,5
0.62,0.1,0.61,9.2,5
0.61,0.26,0.53,9.8,5
0.51,0.15,0.59,12.8,6
1.18,0.21,0.47,10.5,5
0.36,0.21,0.54,10.1,6
0.36,0.21,0.53,10.1,6
0.63,0.27,0.58,9.8,6
0.74,0,0.59,12.5,6
0.44,0.46,0.69,11.9,6
0.63,0.27,0.58,9.8,6
0.76,0.68,1.33,9.1,6
0.66,0.34,0.66,10.1,5
0.74,0,0.59,12.5,6
0.34,0.42,0.55,11.4,5
0.36,0.39,0.82,11,7
0.46,0.24,0.6,10.6,6
0.46,0.24,0.6,10.6,6
0.46,0.24,0.6,10.6,6
0.46,0.24,0.6,10.6,6
0.52,0.11,0.52,9.3,5
0.6,0.26,0.56,9.8,6
0.6,0.26,0.56,9.8,6
0.87,0.26,0.46,9.2,5
0.39,0.1,0.43,9.7,6
0.775,0.22,0.51,9.6,5
0.835,0,0.52,10,5
0.58,0.02,0.66,12.6,6
0.5,0,0.45,9.5,5
0.5,0,0.45,9.5,5
0.5,0,0.45,9.5,5
0.51,0.02,0.54,10.5,6
0.51,0.02,0.54,10.5,6
0.51,0.02,0.54,10.5,6
0.54,0.02,0.51,10.4,6
0.51,0.02,0.54,10.5,6
0.42,0.48,0.53,11,5
0.44,0.24,0.53,10.2,6
0.59,0.01,0.56,11.4,5
0.655,0.03,0.39,9.5,5
0.655,0.03,0.39,9.5,5
0.57,0,0.52,10.8,5
0.6,0.29,0.57,10,5
0.62,0.01,0.51,11.8,6
0.645,0.03,0.46,10.3,5
0.645,0.03,0.46,10.3,5
0.58,0.03,0.52,10,5
0.32,0.25,0.44,10.1,5
0.34,0.25,0.44,10.1,5
0.43,0.24,0.59,11.1,6
0.64,0.17,0.5,9.5,5
0.475,0.4,0.65,10.033333,6
0.54,0.31,0.56,10.9,5
0.85,0.14,0.54,10.1,5
0.475,0.4,0.65,10.033333,6
0.83,0.27,0.48,9.8,4
0.605,0.02,0.53,11.8,6
0.5,0.09,0.62,9.5,5
0.74,0.08,0.5,9.8,5
0.54,0.3,1.18,10.5,6
0.77,0.32,0.5,9.8,6
0.61,0,0.37,10.4,4
0.78,0.51,1.17,9.2,5
0.58,0.56,1.03,11.6,6
0.78,0.51,1.17,9.2,5
0.75,0.27,0.45,9.3,5
0.815,0,0.51,9.8,3
0.56,0.26,0.52,9.9,5
0.885,0.2,0.46,10,5
0.49,0.26,0.62,12.2,6
0.45,0.15,0.51,9.9,6
0.57,0.02,0.62,10.8,6
0.57,0.02,0.62,10.8,6
0.83,0.09,0.45,9.6,5
0.6,0.22,0.49,9.9,5
0.6,0.22,0.49,9.9,5
0.755,0.15,0.5,9.5,5
0.81,0.25,0.42,9.2,5
0.64,0.07,0.58,9.6,5
0.64,0.07,0.58,9.6,5
0.64,0.31,0.68,10.3,5
0.48,0.02,0.53,9.7,5
0.49,0,0.59,12.5,6
0.64,0.22,0.58,11,5
0.62,0.06,0.48,9.8,5
0.52,0.25,0.48,10.2,5
0.57,0.14,0.48,9.2,5
0.685,0.1,0.65,9.55,6
0.675,0.1,0.65,9.55,5
0.59,0.26,0.52,9.9,5
0.6,0.12,0.62,10.2,7
0.67,0,0.72,11.1,6
0.69,0.21,0.51,9.9,5
0.69,0.21,0.51,9.9,5
0.3,0.42,0.82,11.9,6
0.33,0.33,1.1,10,8
0.5,0.39,0.62,10.7,6
0.28,0.3,0.9,11.3,7
0.24,0.34,0.94,10.9,6
0.51,0,0.93,10.7,6
0.29,0.36,1.01,12.4,7
0.51,0,0.93,10.7,6
0.96,0,0.44,11.9,6
0.47,0.4,0.73,10.6,6
0.24,0.34,0.94,10.9,6
0.57,0.25,0.9,10.1,5
0.32,0.59,0.78,9.6,5
0.58,0,0.84,9.4,5
0.32,0.59,0.78,9.6,5
0.34,0.33,0.77,12.1,7
0.53,0.01,0.46,9.8,5
0.64,0.21,0.45,9.9,5
0.53,0.01,0.46,9.8,5
0.4,0.18,0.58,9.4,5
0.54,0,0.84,11.4,6
0.53,0.09,0.67,11,4
0.26,0.37,0.7,9.6,6
0.26,0.37,0.7,9.6,6
0.23,0.37,0.71,12.1,6
0.41,0.33,0.58,11.2,5
0.64,0,0.63,11,5
0.18,0.4,0.93,11.3,5
0.41,0.24,0.62,10.4,5
0.43,0.31,0.54,9.9,6
0.44,0,0.85,11.7,6
0.4,0.16,0.74,10.1,7
0.54,0.37,0.77,9,6
0.54,0.37,0.77,9,6
0.38,0.38,0.65,8.5,5
0.915,0.29,0.54,11.1,5
0.59,0,0.47,10.3,5
0.67,0.02,0.68,11.066667,6
0.37,0.32,0.73,11.3,7
0.785,0.19,0.52,9.566667,6
0.63,0.02,0.75,9.8,5
0.58,0.2,0.49,11.7,5
0.67,0.02,0.68,11.1,6
0.785,0.19,0.52,9.6,6
0.63,0.02,0.75,9.8,5
0.67,0,0.74,9.7,5
0.58,0.01,0.73,9.7,5
0.38,0.31,0.76,11.3,8
0.37,0.32,0.73,11.3,7
0.32,0.44,0.78,11,7
0.58,0.02,0.76,11.6,7
0.49,0.33,0.58,9,5
0.45,0.63,0.69,10.9,6
0.9,0,0.63,10.9,6
0.54,0.06,0.5,10.55,6
0.49,0.33,0.58,9,5
0.29,0.4,0.6,10.5,5
0.2,0.35,0.8,11.9,7
0.42,0.09,0.68,10.4,6
0.785,0,0.61,10,4
0.64,0.03,0.58,10.4,6
0.63,0.01,0.53,10.8,6
0.59,0.1,0.67,9.7,5
0.59,0.1,0.67,9.7,5
0.48,0.32,0.65,10,7
1.04,0.08,0.57,11,4
0.48,0.32,0.65,10,7
0.98,0.05,0.55,9.7,3
0.69,0.11,0.47,9.7,5
0.7,0.08,0.52,12.6,5
0.35,0.6,0.79,11.1,6
0.6,0.08,0.54,11,5
0.5,0.5,0.75,8.8,5
0.47,0.11,0.88,13.566667,7
0.5,0.5,0.75,8.8,5
0.47,0.11,0.88,13.6,7
0.875,0.05,0.52,10.2,3
0.28,0.6,0.68,10.6,5
0.62,0.03,0.62,10.1,4
0.28,0.6,0.68,10.6,5
0.58,0.54,0.57,10.3,4
0.33,0.44,0.61,10.7,5
0.91,0.06,0.64,10.9,4
0.655,0.16,0.55,9.7,5
0.68,0.21,0.6,10.3,5
0.64,0.05,0.78,10.6,5
0.54,0.04,0.58,11.4,5
0.57,0.1,0.76,10.8,6
0.22,0.49,0.56,12.4,6
0.54,0.04,0.58,11.4,5
0.65,0.06,0.54,11.95,5
0.54,0.26,0.59,9.7,5
0.31,0.09,0.7,10,7
0.43,0.02,0.81,10.6,6
0.54,0.26,0.59,9.7,5
0.74,0.03,0.63,11.5,6
0.895,0.04,0.58,10.8,6
0.74,0.03,0.63,11.5,6
0.725,0.04,0.53,9.6,5
0.82,0.29,0.53,9.4,5
0.585,0.18,0.54,9.8,5
0.44,0.39,0.69,11,6
0.38,0.57,0.55,11.4,6
0.76,0.02,0.63,9.95,3
0.81,0.05,0.66,10.8,6
0.38,0.57,0.55,11.4,6
0.27,0.6,0.72,10.6,6
0.18,0.4,0.7,11.1,5
0.36,0.21,0.77,9.7,6
0.69,0.04,0.67,9.8,5
0.79,0.04,0.65,10.4,6
0.56,0.15,0.6,10.5,6
0.84,0.21,0.72,9.233333,6
0.84,0.21,0.72,9.25,6
0.32,0.25,0.97,10.6,5
0.53,0.06,0.83,10.3,6
0.47,0.46,0.63,10.5,5
0.7,0.08,0.58,10.2,5
0.53,0.06,0.83,10.3,6
0.48,0.2,0.43,9.05,4
0.32,0.25,0.97,10.6,5
0.48,0.25,0.6,10.4,5
0.42,0.19,0.78,10,6
0.48,0.08,0.64,9.7,5
0.47,0.08,0.65,9.6,6
0.53,0.07,0.66,10.8,6
0.29,0.49,0.67,10.1,6
0.69,0.08,0.6,10.2,6
0.44,0.09,0.69,11.3,6
0.705,0.1,0.66,10.2,5
0.53,0.13,0.68,9.9,6
0.39,0.3,0.61,9,5
0.56,0.14,0.62,11.7,7
0.55,0.13,0.59,9.7,6
0.53,0.08,0.68,10.3,6
0.58,0.08,0.64,10.2,6
0.64,0.09,0.63,12,5
0.39,0.32,0.78,9.9,5
0.52,0.08,0.63,11.6,6
0.25,0.29,0.76,10.9,7
0.855,0.02,0.56,10.75,6
0.44,0.42,0.57,10.4,6
0.37,0.43,0.81,11.2,7
0.63,0.33,0.64,10.1,6
0.57,0.02,0.61,10.2,5
0.6,0.1,0.51,12.1,5
0.4,0.5,0.58,10.4,5
0.36,0.3,0.7,11.4,8
0.68,0,0.53,9.5,5
0.67,0,0.54,9.4,5
0.68,0.01,0.66,11.3,6
0.735,0,0.6,9.4,5
0.855,0.02,0.6,11,6
0.56,0.17,0.68,10.55,7
0.88,0.04,0.56,9.9,5
0.855,0.02,0.6,11,6
0.63,0.33,0.56,9.5,5
0.6,0.26,0.52,9.9,5
0.6,0.26,0.52,9.9,5
0.6,0.26,0.52,9.9,5
0.695,0.13,0.54,10.1,5
0.695,0.13,0.54,10.1,5
0.695,0.13,0.54,10.1,5
0.67,0.02,0.82,10.9,6
0.16,0.64,0.71,11.2,6
0.695,0.13,0.54,10.1,5
0.56,0.13,0.59,9.2,5
0.51,0.14,0.57,11.5,6
0.36,0.53,0.93,12.4,6
0.38,0.14,0.65,11.1,6
0.69,0.32,0.51,9.5,5
0.58,0.2,0.67,12.5,6
