@relation master
@attribute RMSVA real
@attribute RMSVB real
@attribute RMSVC real
@attribute RMSIA real
@attribute RMSIB real
@attribute RMSIC real
@attribute class {AT,BT,CT,AB,AC,BC,ABC,ABT,ACT,BCT,ABCT}
@data
0.428,0.707,0.447,0.004,2.97E-4,0.004,AC
0.395,0.708,0.408,0.005,2.98E-4,0.005,AC
0.389,0.709,0.430,0.004,2.99E-4,0.004,AC
0.422,0.704,0.449,0.004,2.97E-4,0.004,AC
0.427,0.708,0.473,0.004,2.96E-4,0.004,AC
0.417,0.708,0.447,0.004,3E-4,0.004,AC
0.460,0.705,0.497,0.004,2.98E-4,0.004,AC
0.403,0.708,0.424,0.004,2.97E-4,0.004,AC
0.426,0.701,0.482,0.005,2.97E-4,0.005,AC
0.490,0.706,0.515,0.003,2.98E-4,0.004,AC
0.397,0.704,0.430,0.004,2.97E-4,0.004,AC
0.397,0.707,0.430,0.005,2.97E-4,0.005,AC
0.416,0.706,0.451,0.004,2.99E-4,0.004,AC
0.371,0.706,0.431,0.004,2.98E-4,0.005,AC
0.384,0.708,0.441,0.005,2.97E-4,0.005,AC
0.425,0.710,0.437,0.004,2.98E-4,0.005,AC
0.471,0.702,0.501,0.004,2.97E-4,0.004,AC
0.349,0.706,0.431,0.005,2.99E-4,0.005,AC
0.473,0.710,0.466,0.003,2.99E-4,0.004,AC
0.383,0.705,0.410,0.005,2.99E-4,0.005,AC
0.259,0.834,0.288,0.004,2.84E-4,0.004,ACT
0.329,0.836,0.315,0.004,3.02E-4,0.004,ACT
0.300,0.816,0.317,0.004,2.93E-4,0.004,ACT
0.270,0.853,0.305,0.004,2.88E-4,0.005,ACT
0.303,0.825,0.293,0.004,2.94E-4,0.004,ACT
0.341,0.842,0.369,0.004,2.88E-4,0.005,ACT
0.234,0.891,0.221,0.005,2.9E-4,0.005,ACT
0.174,0.887,0.190,0.005,2.79E-4,0.005,ACT
0.384,0.843,0.367,0.004,3.02E-4,0.005,ACT
0.267,0.839,0.256,0.004,2.89E-4,0.004,ACT
0.364,0.822,0.407,0.004,3E-4,0.004,ACT
0.279,0.855,0.259,0.004,2.94E-4,0.005,ACT
0.379,0.805,0.402,0.003,3.02E-4,0.004,ACT
0.271,0.864,0.293,0.004,2.89E-4,0.005,ACT
0.278,0.829,0.306,0.004,2.87E-4,0.004,ACT
0.397,0.814,0.442,0.004,3.03E-4,0.004,ACT
0.294,0.842,0.275,0.004,2.92E-4,0.004,ACT
0.279,0.827,0.279,0.004,2.92E-4,0.004,ACT
0.309,0.828,0.298,0.004,2.92E-4,0.004,ACT
0.336,0.811,0.328,0.003,2.98E-4,0.004,ACT
0.317,0.818,0.304,0.003,2.99E-4,0.004,ACT
0.236,0.860,0.229,0.004,2.87E-4,0.005,ACT
0.345,0.804,0.362,0.003,3.02E-4,0.004,ACT
0.320,0.829,0.308,0.004,2.91E-4,0.004,ACT
0.378,0.796,0.411,0.003,3.09E-4,0.004,ACT
0.418,0.791,0.435,0.004,2.96E-4,0.004,ACT
0.310,0.825,0.296,0.004,2.92E-4,0.004,ACT
0.338,0.819,0.373,0.004,2.98E-4,0.004,ACT
0.371,0.825,0.346,0.004,3.05E-4,0.004,ACT
0.311,0.804,0.825,0.003,1.63E-4,4.84E-4,AT
0.251,0.823,0.864,0.003,1.43E-4,4.72E-4,AT
0.268,0.843,0.878,0.003,1.67E-4,4.61E-4,AT
0.349,0.775,0.802,0.002,1.57E-4,5.14E-4,AT
0.329,0.784,0.824,0.002,1.25E-4,4.86E-4,AT
0.381,0.775,0.807,0.002,1.6E-4,4.85E-4,AT
0.245,0.828,0.862,0.003,1.41E-4,4.74E-4,AT
0.180,0.847,0.874,0.003,1.09E-4,4.7E-4,AT
0.250,0.819,0.845,0.003,1.24E-4,4.75E-4,AT
0.261,0.839,0.854,0.003,1.46E-4,4.65E-4,AT
0.223,0.853,0.880,0.003,1.39E-4,4.66E-4,AT
0.320,0.795,0.830,0.002,1.4E-4,4.79E-4,AT
0.386,0.780,0.801,0.002,1.89E-4,4.91E-4,AT
0.296,0.793,0.832,0.002,1.32E-4,4.84E-4,AT
0.318,0.822,0.851,0.003,1.7E-4,4.56E-4,AT
0.303,0.792,0.830,0.002,1.53E-4,4.88E-4,AT
0.290,0.803,0.830,0.002,1.36E-4,4.86E-4,AT
0.331,0.778,0.806,0.002,1.38E-4,5.1E-4,AT
0.341,0.793,0.813,0.002,1.64E-4,4.92E-4,AT
0.371,0.793,0.822,0.002,1.61E-4,4.7E-4,AT
0.361,0.773,0.813,0.002,1.54E-4,4.93E-4,AT
0.399,0.797,0.801,0.002,1.99E-4,4.76E-4,AT
0.205,0.828,0.863,0.003,1.09E-4,4.74E-4,AT
0.237,0.820,0.851,0.003,1.22E-4,4.78E-4,AT
0.222,0.821,0.856,0.003,1.19E-4,4.77E-4,AT
0.194,0.861,0.888,0.003,1.33E-4,4.67E-4,AT
0.285,0.794,0.820,0.002,1.15E-4,4.99E-4,AT
0.296,0.777,0.820,0.002,1.08E-4,5.05E-4,AT
0.278,0.803,0.842,0.003,1.24E-4,4.78E-4,AT
0.355,0.793,0.823,0.002,1.54E-4,4.72E-4,AT
0.403,0.818,0.840,0.003,2.22E-4,4.43E-4,AT
0.288,0.817,0.851,0.003,1.5E-4,4.71E-4,AT
0.339,0.808,0.838,0.003,1.66E-4,4.66E-4,AT
0.303,0.779,0.818,0.002,1.09E-4,5.06E-4,AT
0.307,0.787,0.820,0.002,1.18E-4,4.95E-4,AT
0.269,0.801,0.833,0.002,1.13E-4,4.87E-4,AT
0.708,0.429,0.386,3E-4,0.005,0.005,BC
0.703,0.434,0.426,2.97E-4,0.004,0.004,BC
0.708,0.443,0.432,2.98E-4,0.004,0.004,BC
0.707,0.500,0.465,3E-4,0.005,0.004,BC
0.705,0.452,0.434,2.98E-4,0.004,0.004,BC
0.704,0.442,0.417,2.97E-4,0.004,0.004,BC
0.708,0.418,0.409,2.97E-4,0.005,0.005,BC
0.707,0.432,0.364,2.99E-4,0.005,0.005,BC
0.699,0.513,0.475,2.97E-4,0.005,0.005,BC
0.706,0.459,0.429,2.98E-4,0.004,0.004,BC
0.706,0.414,0.409,2.98E-4,0.004,0.004,BC
0.707,0.392,0.394,2.98E-4,0.005,0.004,BC
0.706,0.462,0.437,2.99E-4,0.004,0.004,BC
0.705,0.435,0.396,2.98E-4,0.004,0.004,BC
0.704,0.439,0.424,2.99E-4,0.004,0.004,BC
0.707,0.431,0.377,2.97E-4,0.005,0.004,BC
0.703,0.455,0.453,2.97E-4,0.004,0.004,BC
0.706,0.477,0.394,2.99E-4,0.005,0.005,BC
0.705,0.401,0.387,2.99E-4,0.005,0.004,BC
0.702,0.478,0.457,2.99E-4,0.004,0.003,BC
0.704,0.460,0.423,2.99E-4,0.004,0.004,BC
0.708,0.418,0.387,2.98E-4,0.005,0.005,BC
0.704,0.432,0.434,2.97E-4,0.004,0.004,BC
0.708,0.428,0.424,2.98E-4,0.004,0.004,BC
0.705,0.420,0.411,2.99E-4,0.004,0.004,BC
0.702,0.468,0.417,2.98E-4,0.005,0.004,BC
0.705,0.427,0.423,2.97E-4,0.005,0.005,BC
0.706,0.410,0.375,2.98E-4,0.005,0.005,BC
0.879,0.242,0.253,2.92E-4,0.005,0.005,BCT
0.868,0.372,0.316,2.87E-4,0.005,0.004,BCT
0.857,0.263,0.239,2.9E-4,0.005,0.004,BCT
0.807,0.412,0.379,2.92E-4,0.004,0.004,BCT
0.797,0.442,0.404,3.08E-4,0.003,0.003,BCT
0.873,0.218,0.236,2.81E-4,0.005,0.005,BCT
0.879,0.255,0.271,2.89E-4,0.005,0.005,BCT
0.805,0.377,0.356,2.92E-4,0.004,0.004,BCT
0.815,0.307,0.310,2.95E-4,0.004,0.003,BCT
0.830,0.261,0.278,2.89E-4,0.004,0.004,BCT
0.841,0.302,0.280,2.83E-4,0.005,0.004,BCT
0.839,0.391,0.351,2.99E-4,0.005,0.004,BCT
0.873,0.252,0.268,2.89E-4,0.005,0.005,BCT
0.803,0.433,0.418,2.85E-4,0.004,0.004,BCT
0.849,0.248,0.226,2.88E-4,0.005,0.004,BCT
0.852,0.283,0.300,2.95E-4,0.005,0.004,BCT
0.851,0.258,0.268,2.91E-4,0.005,0.004,BCT
0.878,0.256,0.220,2.83E-4,0.005,0.005,BCT
0.844,0.279,0.258,2.87E-4,0.005,0.004,BCT
0.831,0.264,0.274,2.87E-4,0.004,0.004,BCT
0.809,0.415,0.381,3.05E-4,0.004,0.003,BCT
0.826,0.306,0.293,2.84E-4,0.004,0.004,BCT
0.824,0.332,0.345,3.04E-4,0.004,0.004,BCT
0.814,0.294,0.283,2.89E-4,0.004,0.003,BCT
0.841,0.319,0.293,2.86E-4,0.005,0.004,BCT
0.885,0.227,0.199,2.84E-4,0.005,0.005,BCT
0.852,0.270,0.245,2.9E-4,0.005,0.004,BCT
0.828,0.331,0.312,2.9E-4,0.004,0.004,BCT
0.821,0.412,0.388,2.96E-4,0.004,0.004,BCT
0.827,0.275,0.279,2.87E-4,0.004,0.004,BCT
0.800,0.373,0.773,5.08E-4,0.002,1.83E-4,BT
0.826,0.340,0.788,4.78E-4,0.002,1.52E-4,BT
0.858,0.218,0.822,4.77E-4,0.003,1.05E-4,BT
0.880,0.194,0.855,4.68E-4,0.003,1.22E-4,BT
0.829,0.300,0.791,4.87E-4,0.002,1.22E-4,BT
0.806,0.317,0.783,5.12E-4,0.002,1.26E-4,BT
0.869,0.225,0.836,4.71E-4,0.003,1.45E-4,BT
0.813,0.351,0.791,4.86E-4,0.002,1.74E-4,BT
0.841,0.279,0.807,4.78E-4,0.003,1.2E-4,BT
0.815,0.379,0.790,4.71E-4,0.002,1.69E-4,BT
0.825,0.285,0.788,4.97E-4,0.002,1.01E-4,BT
0.824,0.346,0.793,4.73E-4,0.002,1.54E-4,BT
0.815,0.295,0.776,5.12E-4,0.002,8.31E-5,BT
0.824,0.379,0.806,4.66E-4,0.003,2.1E-4,BT
0.846,0.332,0.834,4.55E-4,0.003,1.84E-4,BT
0.807,0.347,0.778,5.11E-4,0.002,1.69E-4,BT
0.848,0.276,0.819,4.74E-4,0.003,1.42E-4,BT
0.836,0.292,0.796,4.81E-4,0.002,1.21E-4,BT
0.849,0.364,0.825,4.51E-4,0.003,1.94E-4,BT
0.887,0.219,0.849,4.64E-4,0.003,1.48E-4,BT
0.879,0.211,0.855,4.66E-4,0.003,1.34E-4,BT
0.833,0.360,0.804,4.59E-4,0.002,1.74E-4,BT
0.860,0.270,0.820,4.67E-4,0.003,1.42E-4,BT
0.801,0.418,0.787,4.77E-4,0.002,1.99E-4,BT
0.863,0.263,0.831,4.63E-4,0.003,1.44E-4,BT
0.798,0.388,0.782,4.93E-4,0.002,1.62E-4,BT
0.821,0.306,0.788,4.93E-4,0.002,1.11E-4,BT
0.872,0.217,0.853,4.66E-4,0.003,1.3E-4,BT
0.779,0.811,0.346,1.31E-4,4.9E-4,0.002,CT
0.804,0.831,0.260,1E-4,4.91E-4,0.002,CT
0.824,0.862,0.315,1.69E-4,4.59E-4,0.003,CT
0.835,0.845,0.378,2.13E-4,4.54E-4,0.003,CT
0.800,0.838,0.271,1.12E-4,4.86E-4,0.003,CT
0.857,0.879,0.222,1.4E-4,4.64E-4,0.003,CT
0.774,0.804,0.331,1.09E-4,5.11E-4,0.002,CT
0.793,0.827,0.307,1.32E-4,4.84E-4,0.002,CT
0.801,0.830,0.262,1.06E-4,4.93E-4,0.002,CT
0.854,0.880,0.227,1.42E-4,4.66E-4,0.003,CT
0.831,0.876,0.206,1.14E-4,4.68E-4,0.003,CT
0.791,0.816,0.383,1.95E-4,4.75E-4,0.002,CT
0.805,0.843,0.298,1.48E-4,4.72E-4,0.003,CT
0.775,0.799,0.372,1.79E-4,5.05E-4,0.002,CT
0.841,0.869,0.214,1.28E-4,4.69E-4,0.003,CT
0.796,0.814,0.321,1.38E-4,4.9E-4,0.002,CT
0.770,0.808,0.341,1.16E-4,5.07E-4,0.002,CT
0.791,0.813,0.406,1.96E-4,4.68E-4,0.002,CT
0.795,0.826,0.391,1.98E-4,4.57E-4,0.002,CT
0.847,0.869,0.282,1.68E-4,4.61E-4,0.003,CT
0.779,0.814,0.313,1.06E-4,5.04E-4,0.002,CT
0.830,0.852,0.361,1.86E-4,4.57E-4,0.003,CT
0.803,0.847,0.244,1.01E-4,4.81E-4,0.003,CT
0.795,0.831,0.291,1.18E-4,4.84E-4,0.002,CT
0.806,0.843,0.276,1.2E-4,4.77E-4,0.003,CT
0.809,0.841,0.286,1.41E-4,4.75E-4,0.003,CT
0.830,0.864,0.233,1.28E-4,4.69E-4,0.003,CT
0.781,0.812,0.314,1.09E-4,5.04E-4,0.002,CT
0.808,0.855,0.284,1.43E-4,4.67E-4,0.003,CT
0.782,0.809,0.310,1.25E-4,5.13E-4,0.002,CT
0.806,0.842,0.277,1.19E-4,4.78E-4,0.003,CT
0.789,0.819,0.292,1.23E-4,5.03E-4,0.002,CT
0.422,0.392,0.707,0.003,0.003,2.05E-4,AB
0.466,0.438,0.709,0.003,0.003,2.06E-4,AB
0.421,0.412,0.705,0.003,0.003,2.03E-4,AB
0.465,0.456,0.707,0.003,0.003,2.03E-4,AB
0.417,0.367,0.706,0.003,0.003,2.04E-4,AB
0.478,0.453,0.702,0.003,0.003,2.03E-4,AB
0.490,0.473,0.707,0.003,0.003,2.03E-4,AB
0.428,0.395,0.705,0.003,0.003,2.04E-4,AB
0.424,0.404,0.708,0.004,0.004,2.04E-4,AB
0.411,0.365,0.705,0.003,0.003,2.04E-4,AB
0.413,0.386,0.707,0.003,0.003,2.04E-4,AB
0.415,0.364,0.705,0.004,0.003,2.03E-4,AB
0.426,0.406,0.707,0.003,0.003,2.03E-4,AB
0.444,0.405,0.704,0.003,0.003,2.04E-4,AB
0.443,0.415,0.707,0.003,0.003,2.03E-4,AB
0.438,0.435,0.709,0.003,0.003,2.05E-4,AB
0.435,0.411,0.707,0.003,0.003,2.05E-4,AB
0.469,0.457,0.706,0.003,0.003,2.04E-4,AB
0.530,0.490,0.707,0.003,0.003,2.02E-4,AB
0.407,0.384,0.706,0.003,0.003,2.03E-4,AB
0.391,0.380,0.708,0.004,0.004,2.03E-4,AB
0.443,0.408,0.705,0.003,0.003,2.04E-4,AB
0.433,0.417,0.707,0.003,0.003,2.03E-4,AB
0.273,0.243,0.267,0.004,0.004,0.003,ABC
0.424,0.367,0.396,0.003,0.003,0.003,ABC
0.225,0.189,0.215,0.004,0.004,0.004,ABC
0.409,0.359,0.386,0.003,0.003,0.003,ABC
0.218,0.223,0.201,0.004,0.004,0.004,ABC
0.232,0.195,0.218,0.004,0.004,0.004,ABC
0.205,0.182,0.198,0.004,0.004,0.004,ABC
0.382,0.401,0.359,0.004,0.004,0.003,ABC
0.215,0.228,0.240,0.003,0.003,0.003,ABC
0.237,0.252,0.263,0.003,0.003,0.003,ABC
0.245,0.224,0.236,0.003,0.003,0.003,ABC
0.229,0.235,0.207,0.003,0.004,0.004,ABC
0.206,0.181,0.198,0.004,0.004,0.004,ABC
0.304,0.266,0.285,0.003,0.003,0.003,ABC
0.303,0.318,0.274,0.004,0.004,0.004,ABC
0.316,0.278,0.299,0.003,0.003,0.003,ABC
0.367,0.337,0.380,0.004,0.003,0.003,ABC
0.272,0.305,0.324,0.004,0.004,0.004,ABC
0.234,0.246,0.204,0.004,0.004,0.004,ABC
0.263,0.279,0.234,0.004,0.004,0.004,ABC
0.317,0.328,0.289,0.003,0.003,0.003,ABC
0.304,0.333,0.349,0.004,0.004,0.004,ABC
0.206,0.218,0.190,0.004,0.004,0.004,ABC
0.331,0.360,0.386,0.003,0.004,0.003,ABC
0.344,0.291,0.329,0.004,0.004,0.004,ABC
0.275,0.312,0.327,0.004,0.004,0.004,ABC
0.264,0.272,0.244,0.003,0.003,0.003,ABC
0.293,0.244,0.276,0.004,0.004,0.004,ABC
0.275,0.305,0.325,0.004,0.004,0.004,ABC
0.255,0.254,0.236,0.004,0.004,0.003,ABCT
0.223,0.238,0.208,0.004,0.004,0.004,ABCT
0.239,0.256,0.214,0.004,0.004,0.004,ABCT
0.372,0.319,0.351,0.004,0.004,0.004,ABCT
0.392,0.409,0.353,0.003,0.003,0.004,ABCT
0.217,0.232,0.192,0.004,0.004,0.004,ABCT
0.368,0.374,0.328,0.003,0.003,0.003,ABCT
0.195,0.216,0.231,0.004,0.004,0.004,ABCT
0.257,0.283,0.302,0.004,0.004,0.004,ABCT
0.309,0.320,0.272,0.004,0.004,0.004,ABCT
0.208,0.239,0.255,0.004,0.004,0.004,ABCT
0.361,0.386,0.318,0.004,0.004,0.004,ABCT
0.350,0.293,0.329,0.004,0.004,0.004,ABCT
0.257,0.288,0.308,0.004,0.004,0.004,ABCT
0.280,0.317,0.326,0.004,0.004,0.004,ABCT
0.371,0.399,0.351,0.004,0.004,0.004,ABCT
0.309,0.355,0.339,0.004,0.003,0.004,ABCT
0.310,0.335,0.346,0.003,0.003,0.004,ABCT
0.301,0.326,0.348,0.003,0.003,0.003,ABCT
0.286,0.251,0.269,0.004,0.004,0.004,ABCT
0.290,0.259,0.277,0.004,0.004,0.004,ABCT
0.210,0.222,0.192,0.004,0.004,0.004,ABCT
0.225,0.249,0.261,0.004,0.004,0.004,ABCT
0.212,0.236,0.241,0.004,0.004,0.004,ABCT
0.268,0.284,0.242,0.004,0.004,0.004,ABCT
0.368,0.401,0.423,0.004,0.003,0.004,ABCT
0.247,0.262,0.243,0.004,0.003,0.003,ABCT
0.374,0.387,0.353,0.003,0.003,0.003,ABCT
0.272,0.299,0.835,0.003,0.003,3.22E-4,ABT
0.220,0.242,0.866,0.003,0.003,3.13E-4,ABT
0.288,0.313,0.866,0.004,0.003,3.05E-4,ABT
0.266,0.295,0.853,0.003,0.003,3.09E-4,ABT
0.264,0.244,0.847,0.003,0.003,3.11E-4,ABT
0.248,0.277,0.851,0.004,0.003,3.11E-4,ABT
0.353,0.314,0.840,0.003,0.003,3.05E-4,ABT
0.355,0.302,0.835,0.003,0.003,3.15E-4,ABT
0.356,0.318,0.858,0.004,0.004,3E-4,ABT
0.348,0.366,0.822,0.003,0.003,3.39E-4,ABT
0.291,0.307,0.834,0.003,0.003,3.25E-4,ABT
0.239,0.266,0.843,0.003,0.003,3.2E-4,ABT
0.212,0.195,0.856,0.003,0.003,3.17E-4,ABT
0.310,0.333,0.824,0.003,0.003,3.3E-4,ABT
0.410,0.382,0.817,0.003,0.003,3.04E-4,ABT
0.195,0.179,0.868,0.004,0.003,3.08E-4,ABT
0.253,0.231,0.858,0.003,0.003,3.12E-4,ABT
0.332,0.356,0.824,0.003,0.003,3.16E-4,ABT
0.246,0.260,0.831,0.003,0.003,3.27E-4,ABT
0.289,0.276,0.824,0.003,0.003,3.28E-4,ABT
0.305,0.263,0.864,0.004,0.003,3.05E-4,ABT
0.220,0.201,0.869,0.004,0.003,3.07E-4,ABT
0.222,0.192,0.868,0.004,0.003,3.1E-4,ABT
0.250,0.221,0.841,0.003,0.003,3.27E-4,ABT
0.241,0.215,0.841,0.003,0.003,3.26E-4,ABT
0.376,0.349,0.820,0.003,0.003,3.11E-4,ABT
0.367,0.383,0.824,0.003,0.003,3.18E-4,ABT
0.301,0.280,0.829,0.003,0.003,3.17E-4,ABT
0.254,0.228,0.862,0.004,0.003,3.07E-4,ABT
0.291,0.316,0.839,0.003,0.003,3.13E-4,ABT
0.363,0.347,0.822,0.003,0.003,3.23E-4,ABT
0.207,0.225,0.864,0.004,0.003,3.12E-4,ABT
0.305,0.336,0.833,0.003,0.003,3.15E-4,ABT
0.276,0.293,0.825,0.003,0.003,3.28E-4,ABT
0.245,0.225,0.837,0.003,0.003,3.23E-4,ABT
0.305,0.339,0.853,0.003,0.003,3.09E-4,ABT
0.359,0.384,0.832,0.003,0.003,3.17E-4,ABT
0.237,0.206,0.844,0.003,0.003,3.21E-4,ABT
0.257,0.276,0.834,0.003,0.003,3.24E-4,ABT
0.246,0.270,0.871,0.004,0.003,3.09E-4,ABT
0.219,0.193,0.853,0.003,0.003,3.18E-4,ABT
0.227,0.243,0.836,0.003,0.003,3.26E-4,ABT
0.269,0.261,0.829,0.003,0.003,3.22E-4,ABT
0.391,0.706,0.420,0.003,2.03E-4,0.003,AC
0.365,0.706,0.411,0.003,2.04E-4,0.004,AC
0.411,0.708,0.416,0.003,2.04E-4,0.003,AC
0.452,0.707,0.483,0.003,2.04E-4,0.003,AC
0.455,0.708,0.491,0.003,2.04E-4,0.003,AC
0.502,0.714,0.527,0.003,2.04E-4,0.003,AC
0.414,0.708,0.415,0.003,2.03E-4,0.003,AC
0.438,0.708,0.469,0.003,2.04E-4,0.003,AC
0.437,0.701,0.494,0.003,2.02E-4,0.003,AC
0.392,0.708,0.407,0.003,2.04E-4,0.003,AC
0.441,0.706,0.477,0.003,2.02E-4,0.003,AC
0.420,0.706,0.431,0.003,2.03E-4,0.003,AC
0.392,0.704,0.417,0.003,2.03E-4,0.003,AC
0.391,0.707,0.419,0.003,2.04E-4,0.003,AC
0.411,0.706,0.421,0.003,2.03E-4,0.003,AC
0.386,0.707,0.411,0.003,2.03E-4,0.003,AC
0.420,0.704,0.454,0.003,2.02E-4,0.003,AC
0.404,0.707,0.408,0.003,2.04E-4,0.004,AC
0.396,0.708,0.402,0.003,2.04E-4,0.003,AC
0.403,0.707,0.405,0.003,2.04E-4,0.003,AC
0.432,0.710,0.483,0.003,2.05E-4,0.003,AC
0.378,0.707,0.400,0.003,2.04E-4,0.004,AC
0.408,0.707,0.403,0.003,2.04E-4,0.003,AC
0.404,0.709,0.424,0.003,2.04E-4,0.003,AC
0.387,0.709,0.430,0.003,2.04E-4,0.003,AC
0.415,0.706,0.449,0.003,2.05E-4,0.003,AC
0.440,0.706,0.436,0.003,2.03E-4,0.003,AC
0.446,0.704,0.483,0.003,2.03E-4,0.003,AC
0.475,0.707,0.503,0.003,2.03E-4,0.003,AC
0.397,0.708,0.403,0.003,2.04E-4,0.003,AC
0.347,0.827,0.317,0.003,3.17E-4,0.003,ACT
0.237,0.841,0.250,0.003,3.2E-4,0.003,ACT
0.285,0.834,0.322,0.003,3.17E-4,0.003,ACT
0.209,0.866,0.194,0.003,3.13E-4,0.004,ACT
0.398,0.825,0.363,0.003,3.13E-4,0.003,ACT
0.411,0.832,0.388,0.003,3.08E-4,0.003,ACT
0.244,0.825,0.251,0.003,3.32E-4,0.003,ACT
0.306,0.828,0.361,0.003,3.21E-4,0.003,ACT
0.224,0.862,0.254,0.003,3.08E-4,0.004,ACT
0.238,0.840,0.232,0.003,3.24E-4,0.003,ACT
0.215,0.873,0.254,0.003,3.07E-4,0.004,ACT
0.354,0.854,0.317,0.003,3.02E-4,0.004,ACT
0.251,0.834,0.241,0.003,3.24E-4,0.003,ACT
0.232,0.871,0.217,0.003,3.07E-4,0.004,ACT
0.252,0.847,0.275,0.003,3.15E-4,0.003,ACT
0.437,0.850,0.390,0.003,3.03E-4,0.003,ACT
0.233,0.847,0.260,0.003,3.13E-4,0.003,ACT
0.311,0.847,0.344,0.003,3.01E-4,0.003,ACT
0.302,0.835,0.285,0.003,3.18E-4,0.003,ACT
0.217,0.853,0.210,0.003,3.18E-4,0.003,ACT
0.224,0.850,0.249,0.003,3.17E-4,0.003,ACT
0.387,0.840,0.346,0.003,3.07E-4,0.003,ACT
0.194,0.856,0.222,0.003,3.16E-4,0.004,ACT
0.370,0.855,0.331,0.003,3.02E-4,0.004,ACT
0.398,0.810,0.378,0.003,3.18E-4,0.003,ACT
0.295,0.849,0.270,0.003,3.1E-4,0.003,ACT
0.271,0.844,0.312,0.003,3.14E-4,0.003,ACT
0.254,0.832,0.274,0.003,3.18E-4,0.003,ACT
0.252,0.854,0.233,0.003,3.14E-4,0.003,ACT
0.382,0.811,0.363,0.003,3.24E-4,0.003,ACT
0.223,0.817,0.848,0.002,2.45E-4,3.81E-4,AT
0.307,0.790,0.818,0.002,2.51E-4,3.88E-4,AT
0.388,0.798,0.818,0.002,2.54E-4,3.61E-4,AT
0.336,0.796,0.824,0.002,2.6E-4,3.82E-4,AT
0.231,0.797,0.829,0.002,2.5E-4,3.97E-4,AT
0.270,0.817,0.841,0.002,2.48E-4,3.74E-4,AT
0.241,0.826,0.857,0.002,2.39E-4,3.69E-4,AT
0.231,0.808,0.841,0.002,2.49E-4,3.89E-4,AT
0.319,0.812,0.833,0.002,2.42E-4,3.62E-4,AT
0.185,0.818,0.854,0.002,2.45E-4,3.86E-4,AT
0.254,0.824,0.852,0.002,2.42E-4,3.7E-4,AT
0.285,0.819,0.832,0.002,2.5E-4,3.71E-4,AT
0.300,0.792,0.817,0.002,2.53E-4,3.88E-4,AT
0.241,0.805,0.836,0.002,2.44E-4,3.85E-4,AT
0.246,0.830,0.848,0.002,2.49E-4,3.72E-4,AT
0.269,0.789,0.823,0.002,2.52E-4,3.98E-4,AT
0.278,0.815,0.840,0.002,2.55E-4,3.8E-4,AT
0.209,0.835,0.868,0.002,2.36E-4,3.69E-4,AT
0.250,0.793,0.833,0.002,2.47E-4,3.95E-4,AT
0.230,0.798,0.835,0.002,2.45E-4,3.94E-4,AT
0.361,0.778,0.804,0.002,2.62E-4,3.91E-4,AT
0.349,0.811,0.829,0.002,2.53E-4,3.64E-4,AT
0.339,0.782,0.804,0.002,2.71E-4,3.98E-4,AT
0.319,0.784,0.819,0.002,2.52E-4,3.9E-4,AT
0.336,0.810,0.836,0.002,2.47E-4,3.64E-4,AT
0.320,0.795,0.820,0.002,2.58E-4,3.85E-4,AT
0.244,0.821,0.847,0.002,2.5E-4,3.77E-4,AT
0.210,0.823,0.850,0.002,2.48E-4,3.81E-4,AT
0.221,0.812,0.840,0.002,2.44E-4,3.83E-4,AT
0.392,0.786,0.806,0.002,2.77E-4,3.82E-4,AT
0.248,0.792,0.826,0.002,2.53E-4,4E-4,AT
0.351,0.793,0.806,0.002,2.8E-4,3.96E-4,AT
0.249,0.800,0.833,0.002,2.55E-4,3.95E-4,AT
0.706,0.422,0.407,2.02E-4,0.003,0.003,BC
0.707,0.447,0.441,2.04E-4,0.003,0.003,BC
0.704,0.432,0.415,2.04E-4,0.003,0.003,BC
0.706,0.462,0.454,2.04E-4,0.004,0.003,BC
0.707,0.448,0.441,2.04E-4,0.003,0.003,BC
0.706,0.415,0.415,2.04E-4,0.003,0.003,BC
0.708,0.414,0.414,2.04E-4,0.003,0.003,BC
0.707,0.438,0.435,2.03E-4,0.003,0.003,BC
0.707,0.407,0.392,2.04E-4,0.003,0.003,BC
0.705,0.427,0.423,2.03E-4,0.003,0.003,BC
0.707,0.409,0.415,2.03E-4,0.003,0.003,BC
0.707,0.430,0.418,2.04E-4,0.003,0.003,BC
0.706,0.440,0.426,2.03E-4,0.003,0.003,BC
0.707,0.454,0.451,2.04E-4,0.003,0.003,BC
0.705,0.511,0.490,2.03E-4,0.003,0.003,BC
0.706,0.470,0.439,2.05E-4,0.003,0.003,BC
0.704,0.469,0.446,2.02E-4,0.003,0.003,BC
0.708,0.429,0.371,2.04E-4,0.004,0.003,BC
0.700,0.509,0.449,2.02E-4,0.003,0.003,BC
0.710,0.456,0.415,2.04E-4,0.003,0.003,BC
0.701,0.511,0.478,2.02E-4,0.003,0.003,BC
0.706,0.410,0.378,2.03E-4,0.003,0.003,BC
0.701,0.503,0.485,2.04E-4,0.003,0.003,BC
0.708,0.449,0.395,2.03E-4,0.003,0.003,BC
0.706,0.409,0.398,2.04E-4,0.003,0.003,BC
0.705,0.456,0.432,2.02E-4,0.004,0.003,BC
0.704,0.455,0.405,2.02E-4,0.003,0.003,BC
0.710,0.453,0.445,2.04E-4,0.003,0.003,BC
0.710,0.432,0.419,2.05E-4,0.003,0.003,BC
